Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,98.84,110.37,110.99,108.73,108.74,11518700
04/01/2012,98.67,110.18,110.37,109.2,109.83,8019100
05/01/2012,97.7,109.1,109.54,107.97,109.39,7184900
06/01/2012,96.99,108.31,109.61,108.09,109.41,8214900
09/01/2012,98.05,109.49,109.67,108.03,108.24,7118800
10/01/2012,97.67,109.06,110.66,108.9,110.12,7641800
11/01/2012,96.51,107.77,108.65,107.13,108.51,7802500
12/01/2012,94,104.97,106.04,104.52,104.52,11897200
13/01/2012,95.01,106.09,106.15,103.51,104.62,8266900
17/01/2012,95.57,106.72,107.98,106.03,107.27,6925300
18/01/2012,95.67,106.83,106.94,105.2,106,6581400
19/01/2012,95.76,106.93,107.5,105.82,107.21,5666100
20/01/2012,95.72,106.89,107.2,106.25,106.95,7284600
23/01/2012,95.83,107.01,107.5,106.56,106.99,6506700
24/01/2012,95.57,106.72,107.09,106.18,106.45,5041400
25/01/2012,96.47,107.73,108,105.09,106.37,8020700
26/01/2012,95.45,106.59,108.57,106.35,108.03,7000400
27/01/2012,93.1,103.96,104.67,103.12,104.39,10581500
30/01/2012,92.61,103.41,103.5,102.08,103.4,7615700
31/01/2012,92.35,103.12,104.78,102.4,104.61,8320100
01/02/2012,92.05,102.79,104.42,102.68,104.42,7824500
02/02/2012,92.86,103.69,103.96,102.88,103.03,5897200
03/02/2012,94.48,105.5,105.6,104.48,104.91,6818600
06/02/2012,95.53,106.67,106.76,104.37,104.62,6443600
07/02/2012,95.67,106.83,107.06,105.44,106.02,6034700
08/02/2012,95.61,106.76,107.5,106.09,107.27,5383700
09/02/2012,95.26,106.37,107.41,106.07,107.18,4751400
10/02/2012,94.28,105.28,105.52,104.58,105.19,6136800
13/02/2012,95.27,106.38,106.53,105.45,106.16,4695500
14/02/2012,95.36,106.49,106.53,105.57,106.25,5974800
15/02/2012,94.75,105,106.24,104.59,106.24,6553800
16/02/2012,96.12,106.52,106.57,104.8,105.52,5733900
17/02/2012,96.25,106.66,107.24,106.04,107.02,5666500
21/02/2012,97.83,108.41,108.5,107.44,107.51,7149000
22/02/2012,97.01,107.5,108.56,107.2,108.16,7150000
23/02/2012,97.77,108.35,108.5,107.32,107.54,5504800
24/02/2012,98.43,109.08,109.4,108.5,108.8,5833300
27/02/2012,98.93,109.63,110.22,108.28,108.29,7723400
28/02/2012,98.91,109.61,110.4,109.18,109.68,9132500
29/02/2012,98.47,109.12,110.92,108.92,110.4,10572800
01/03/2012,99.05,109.76,110.14,109.1,109.17,5980100
02/03/2012,98.91,109.61,109.87,109,109.5,5377100
05/03/2012,98.65,109.32,109.45,108.14,109.14,5941500
06/03/2012,98.23,108.85,109.03,108,108.14,7480800
07/03/2012,98.78,109.46,109.95,108.19,109,6867900
08/03/2012,99.29,110.03,110.57,109.56,109.8,5505400
09/03/2012,98.87,109.57,110.41,109.37,109.89,5704200
12/03/2012,99.26,110,110,109.16,109.65,5324700
13/03/2012,100.34,111.19,111.31,109.43,110.22,7331000
14/03/2012,99.89,110.69,112.28,110.54,111.05,8819400
15/03/2012,99.29,110.03,110.93,109.46,110.51,8899400
16/03/2012,99.52,110.28,110.83,110.1,110.43,11092500
19/03/2012,99.89,110.7,111.06,110.3,110.52,5695000
20/03/2012,98.43,109.08,109.93,108.93,109.93,6158300
21/03/2012,97.38,107.91,109.02,107.35,108.95,7549900
22/03/2012,95.07,105.35,106.99,105.03,106.85,8282100
23/03/2012,95.98,106.36,106.9,104.85,105.68,6600300
26/03/2012,97.31,107.84,107.97,106.83,107.23,5311100
27/03/2012,96.59,107.04,108,107.01,107.88,4327700
28/03/2012,95.55,105.89,106.96,105.2,106.57,6816400
29/03/2012,96.42,106.85,107.02,104.92,105.08,5793900
30/03/2012,96.75,107.21,107.25,106.41,107.04,6121000
02/04/2012,97.73,108.3,108.79,106.6,106.85,5188400
03/04/2012,96.68,107.14,108.23,106.23,107.93,4690300
04/04/2012,95.29,105.6,106.26,105.03,106.25,5430600
05/04/2012,94.53,104.75,105.9,104.33,105.17,5982700
09/04/2012,93.39,103.49,104.08,102.85,103.3,4983400
10/04/2012,91.55,101.45,103.38,101.4,103.25,8907500
11/04/2012,91.1,100.95,102.45,100.78,102.31,8570100
12/04/2012,92.58,102.59,102.86,100.51,100.89,6451900
13/04/2012,90.94,100.78,102.36,100.72,102.29,6847100
16/04/2012,91.6,101.51,102.24,101.17,101.62,6065100
17/04/2012,93.51,103.62,104.09,102.34,102.46,5500900
18/04/2012,93.3,103.39,103.97,102.85,103.42,4836200
19/04/2012,92.5,102.51,103.64,102.18,103.27,6768400
20/04/2012,92.51,102.52,103.84,102.42,103.11,5814700
23/04/2012,92.44,102.44,102.72,100.89,101.19,5590600
24/04/2012,92.97,103.03,103.17,102.14,102.77,4104400
25/04/2012,93.71,103.85,103.89,102.62,103.56,5308500
26/04/2012,95.85,106.22,106.7,103.99,104,8535300
27/04/2012,95.83,106.2,106.8,105.67,106.78,5433500
30/04/2012,96.16,106.56,106.61,105.81,106.16,4727100
01/05/2012,97.7,108.27,108.79,106.39,106.74,6179900
02/05/2012,96.58,107.03,107.65,106.59,107.51,4834400
03/05/2012,95.64,105.99,107.06,105.41,107.04,4882800
04/05/2012,93.6,103.72,105.49,103.25,105.27,6241300
07/05/2012,93.23,103.31,103.82,102.59,103.08,6126900
08/05/2012,92.8,102.84,103.21,101.55,102.75,8167200
09/05/2012,91.85,101.78,102.5,101.37,101.61,6115600
10/05/2012,93.27,103.36,104.24,102.65,102.83,21105400
11/05/2012,92.67,102.69,103.95,102.47,102.95,4944700
14/05/2012,91.99,101.94,102.3,101.27,101.74,7021400
15/05/2012,91.05,100.9,102.66,100.71,102.04,8421000
16/05/2012,91.14,100.1,101.78,100.01,100.77,6423800
17/05/2012,91.18,100.14,101.41,99.89,100.2,6527500
18/05/2012,89.65,98.46,100.75,98.24,100.48,11137700
21/05/2012,90.77,99.69,99.74,98.35,98.81,6169400
22/05/2012,90.43,99.32,100.68,98.73,99.93,6089700
23/05/2012,90.14,99,99,96.7,98.33,8013000
24/05/2012,91.11,100.06,100.12,98.55,99.26,6322300
25/05/2012,90.01,98.86,100.24,98.42,100.04,5561500
29/05/2012,91.27,100.24,100.85,99.5,99.81,5223200
30/05/2012,88.89,97.63,99.11,97.5,99.11,7284800
31/05/2012,89.51,98.31,99.16,96.68,98.06,9371100
01/06/2012,87.78,96.41,97.29,96.02,96.65,9243000
04/06/2012,87.94,96.58,97.14,95.73,96.48,6794500
05/06/2012,87.86,96.49,96.87,95.78,96.39,5891600
06/06/2012,90.87,99.8,99.8,97.58,97.89,7145800
07/06/2012,91.41,100.39,102,100.18,100.98,7971600
08/06/2012,91.82,100.84,101,99.69,99.89,5769900
11/06/2012,90.97,99.91,102.33,99.57,101.99,7037100
12/06/2012,91.72,100.74,100.9,99.56,100.2,5933400
13/06/2012,91.17,100.13,101.4,99.71,100.68,5189900
14/06/2012,92.8,101.92,102.17,99.9,100.17,6540000
15/06/2012,94.99,104.33,104.5,102.64,103,11091100
18/06/2012,94.2,103.46,103.97,103,103.14,6630300
