Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,32.19,70.14,70.71,70.1,70.15,15639600
04/01/2012,31.99,69.7,70.07,69.5,69.91,14239200
05/01/2012,31.84,69.37,69.87,69.35,69.76,14287600
06/01/2012,31.64,68.93,69.63,68.62,69.47,13646600
09/01/2012,31.64,68.93,69.17,68.8,69,10522600
10/01/2012,31.83,69.34,69.52,69.11,69.47,12964400
11/01/2012,31.24,68.06,68.77,67.55,68.37,23428800
12/01/2012,31.01,67.57,68.5,67.35,68.42,15237000
13/01/2012,30.75,66.99,67.43,66.57,67.34,19991800
17/01/2012,30.91,67.35,67.88,67.32,67.74,15577000
18/01/2012,31.02,67.59,67.82,67.18,67.46,13282200
19/01/2012,30.96,67.45,67.74,67.26,67.65,13544800
20/01/2012,31.25,68.09,68.12,67.4,67.54,19158600
23/01/2012,31.45,68.53,68.62,67.91,68,13803200
24/01/2012,31.17,67.9,68.5,67.71,68.16,14751200
25/01/2012,31.41,68.43,68.5,67.54,67.91,14476000
26/01/2012,31.22,68.01,68.62,67.76,68.62,14721000
27/01/2012,30.95,67.44,68.14,67.23,67.91,16825000
30/01/2012,30.96,67.46,67.57,67.03,67.29,10591600
31/01/2012,31,67.53,67.98,67.18,67.98,13543400
01/02/2012,31.14,67.85,68.34,67.8,67.88,14915000
02/02/2012,31.13,67.83,68.24,67.75,68.07,13150000
03/02/2012,31.25,68.08,68.49,67.84,68.26,16555800
06/02/2012,31.23,68.03,68.23,67.7,67.84,14586400
07/02/2012,31.46,68.55,69.45,67.63,68.09,24269600
08/02/2012,31.36,68.33,68.85,68.2,68.84,16428400
09/02/2012,31.2,67.97,68.39,67.77,68.36,16311400
10/02/2012,31.18,67.94,67.94,67.42,67.53,10994600
13/02/2012,31.41,68.44,68.6,68.09,68.42,11091000
14/02/2012,31.62,68.9,68.93,68.1,68.47,12596000
15/02/2012,31.4,68.4,69.25,68.23,69.23,14776800
16/02/2012,31.61,68.86,68.99,68.42,68.61,11752000
17/02/2012,31.69,69.05,69.17,68.6,69.07,14841800
21/02/2012,31.59,68.82,69.05,68.5,68.88,13424800
22/02/2012,31.79,69.25,69.34,68.6,68.6,13766400
23/02/2012,31.75,69.18,69.3,68.92,69.09,11120000
24/02/2012,31.67,69,69.5,68.83,69.35,12485400
27/02/2012,31.59,68.83,69,68.52,68.69,12086200
28/02/2012,31.6,68.85,69.1,68.8,68.95,9049000
29/02/2012,32.07,69.86,69.98,68.9,68.9,23464400
01/03/2012,31.95,69.6,69.96,69.39,69.87,15294200
02/03/2012,31.75,69.18,69.6,68.97,69.41,11995800
05/03/2012,31.78,69.23,69.34,69,69.02,10338600
06/03/2012,31.56,68.76,69.09,68.64,68.82,13161200
07/03/2012,31.57,68.79,68.94,68.5,68.75,10933800
