Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,36.8,38.31,38.46,37.94,37.97,9704200
04/01/2012,37.32,38.85,38.99,38.12,38.19,9889900
05/01/2012,37.95,39.5,39.58,38.7,38.83,14327100
06/01/2012,38.34,39.91,40.15,39.45,39.55,14401600
09/01/2012,38.19,39.75,40.25,39.59,39.74,12145200
10/01/2012,38.07,39.63,39.91,39.16,39.48,14070900
11/01/2012,37.18,38.7,39.53,38.45,39.39,16257600
12/01/2012,37.21,38.73,38.86,38.41,38.62,10073400
13/01/2012,36.89,38.4,38.59,38.02,38.47,9877700
17/01/2012,36.97,38.48,38.98,38.41,38.69,9142800
18/01/2012,37.48,39.02,39.1,38.4,38.51,9594500
19/01/2012,37.89,39.44,39.47,39,39.01,7731000
20/01/2012,37.76,39.31,39.44,39.1,39.42,7879900
23/01/2012,37.71,39.25,39.5,38.96,39.38,7124600
24/01/2012,37.71,39.25,39.27,38.57,39.03,9407000
25/01/2012,38,39.56,39.68,38.96,39.12,10054000
26/01/2012,37.8,39.35,39.75,39.06,39.59,7162600
27/01/2012,37.71,39.25,39.5,38.98,39.27,9588400
30/01/2012,37.46,38.99,39.11,38.38,38.74,8683200
31/01/2012,37.37,38.9,39.31,38.66,39.08,14020100
01/02/2012,37.78,39.33,39.67,39.16,39.25,8901000
02/02/2012,37.38,38.91,39.25,38.56,39.22,9076800
03/02/2012,38.43,40,40,39.36,39.43,11605300
06/02/2012,38.87,40.46,40.59,39.96,40,11536500
07/02/2012,39.37,40.98,41.15,40.2,40.73,20107300
08/02/2012,39.65,41.27,41.91,40.99,41.37,21690200
09/02/2012,39.9,41.53,41.64,40.55,40.75,13581000
10/02/2012,39.82,41.45,41.45,40.83,40.94,10116300
13/02/2012,40.15,41.79,41.92,41.59,41.62,9065800
14/02/2012,39.96,41.6,41.62,41.26,41.5,8210300
15/02/2012,39.63,41.25,41.75,41.13,41.48,7891200
16/02/2012,39.91,41.54,41.73,41.08,41.23,7464500
17/02/2012,40.11,41.75,41.86,41.55,41.71,7758700
21/02/2012,39.93,41.57,41.9,41.49,41.8,5675100
22/02/2012,39.65,41.27,41.71,41.15,41.55,6176200
23/02/2012,39.85,41.48,41.67,41.09,41.28,6271000
24/02/2012,39.68,41.31,41.58,41.23,41.44,6150600
27/02/2012,40,41.64,41.95,41.3,41.7,9132300
28/02/2012,40.28,41.93,41.97,41.55,41.75,6895200
29/02/2012,40.34,41.99,42.37,41.85,41.87,14858700
01/03/2012,40.72,42.39,42.54,42.13,42.13,7995900
02/03/2012,40.69,42.36,42.53,42.04,42.26,5070500
05/03/2012,41.02,42.7,42.77,42.11,42.35,9288800
06/03/2012,40.35,42,42.32,41.73,42.24,10434500
07/03/2012,40.11,41.75,42.07,41.7,42,7793500
08/03/2012,40.37,42.02,42.32,41.95,41.99,6163800
09/03/2012,40.58,42.24,42.57,42.03,42.12,6896400
12/03/2012,40.67,42.34,42.85,42.15,42.53,6834500
13/03/2012,42.28,44.01,44.08,42.43,42.55,15051900
14/03/2012,41.77,43.48,43.7,42.9,43.59,10991300
15/03/2012,41.76,43.47,43.5,43.17,43.5,6123600
16/03/2012,41.49,43.19,43.52,43.18,43.42,8952100
19/03/2012,41.73,43.44,43.58,42.95,43.07,6382500
20/03/2012,41.54,43.24,43.31,42.93,43,6853900
21/03/2012,41.57,43.27,43.87,43.27,43.42,9582000
22/03/2012,41.59,43.29,43.4,43.01,43.08,8560200
23/03/2012,41.93,43.65,43.71,42.86,43.33,8519000
26/03/2012,42.63,44.38,44.41,43.92,43.94,10850200
27/03/2012,42.41,44.15,44.5,44.09,44.39,9343100
28/03/2012,41.8,43.51,44.15,43.26,44.04,9444300
29/03/2012,41.32,43.01,43.27,42.3,43.2,10402500
30/03/2012,42.06,43.78,43.85,43.1,43.52,9096000
02/04/2012,42.12,43.84,44,43.32,43.59,7653800
03/04/2012,41.59,43.29,43.75,42.91,43.67,7996400
04/04/2012,41.24,42.93,42.99,42.48,42.9,8560700
05/04/2012,41.39,43.08,43.18,42.68,42.84,6340800
09/04/2012,40.45,42.11,42.27,41.96,42.13,6813500
10/04/2012,39.38,40.99,42.13,40.88,41.87,10682100
11/04/2012,39.74,41.37,41.7,41.24,41.51,6358400
12/04/2012,40.49,42.15,42.2,41.25,41.43,5538400
13/04/2012,40.2,41.85,42.22,41.7,42.03,7311700
16/04/2012,40.02,41.66,42.13,41.54,42.06,6109300
17/04/2012,41,42.68,42.74,41.88,41.88,6550300
18/04/2012,40.82,42.49,42.61,42.32,42.48,3781900
19/04/2012,40.42,42.08,42.51,41.8,42.43,7074200
20/04/2012,40.68,42.35,42.84,42.24,42.24,7773100
23/04/2012,40.36,42.01,42.25,41.73,42.25,6592100
24/04/2012,40.52,42.18,42.43,41.97,42.03,4954600
25/04/2012,41.02,42.7,42.76,42.38,42.4,4926300
26/04/2012,41.65,43.36,43.56,42.69,42.74,7713000
27/04/2012,41.64,43.35,43.65,43.12,43.6,6354200
30/04/2012,41.41,43.11,43.35,42.84,43.32,6987200
01/05/2012,42.07,43.79,44.09,43.15,43.18,9316200
02/05/2012,41.83,43.54,43.81,43.3,43.57,8038200
03/05/2012,42.09,43.81,44.13,43.49,43.54,9353900
04/05/2012,41.24,42.93,43.71,42.84,43.6,7458800
07/05/2012,42.1,43.82,43.95,43.31,43.65,11780500
08/05/2012,42.56,44.3,44.49,43.09,43.78,19680900
09/05/2012,43.25,45.02,45.8,44.41,44.46,21348300
10/05/2012,43.5,45.28,45.59,45.05,45.14,14082900
11/05/2012,43.77,45.56,45.8,45,45.13,9779300
14/05/2012,43.39,45.17,45.5,44.98,45.17,8059400
15/05/2012,43.24,45.01,45.8,44.92,45.23,10168800
16/05/2012,43.31,45.08,45.55,45.06,45.15,8399800
17/05/2012,42.59,44.33,45.23,44.3,45.15,8475100
18/05/2012,42.09,43.81,44.49,43.62,44.46,10598200
21/05/2012,42.64,44.39,44.41,43.51,43.81,8309300
22/05/2012,42.64,44.39,44.7,44.13,44.49,6855400
23/05/2012,42.47,44.21,44.46,43.81,44.24,8875700
24/05/2012,42.69,44.44,44.61,44.01,44.41,9813200
25/05/2012,42.75,44.5,44.96,44.38,44.49,8520700
29/05/2012,43.69,45.48,45.5,44.6,44.7,10560000
30/05/2012,43.42,45.2,45.48,44.86,45.02,11208700
31/05/2012,43.91,45.71,46.1,45.06,45.13,14646500
01/06/2012,42.65,44.4,45.35,44.34,45.15,14874500
04/06/2012,42.66,44.41,44.69,44.14,44.47,9480300
05/06/2012,43.08,44.84,44.92,44.2,44.51,11166600
06/06/2012,43.74,45.53,45.6,45,45.02,9494400
07/06/2012,43.83,45.63,46.22,45.53,45.84,10238900
08/06/2012,44.42,46.24,46.25,45.59,45.7,10716400
11/06/2012,44,45.8,46.63,45.73,46.35,7907400
12/06/2012,44.56,46.38,46.41,45.58,45.75,7742900
13/06/2012,44.41,46.23,46.65,45.99,46.25,7317600
14/06/2012,45.32,47.18,47.45,46.21,46.4,12553900
15/06/2012,45.24,47.09,47.43,46.92,47.41,11198200
18/06/2012,45.25,47.1,47.4,46.8,46.96,8821100
19/06/2012,45.64,47.51,48,47.28,47.43,8209000
20/06/2012,45.85,47.73,47.97,47.43,47.64,7264700
21/06/2012,45.54,47.4,47.89,47.22,47.8,10077700
22/06/2012,45.6,47.47,47.52,46.91,47.39,18881600
25/06/2012,44.86,46.7,47.23,46.55,47.22,6740600
26/06/2012,45.44,47.3,47.47,46.82,46.88,7279900
27/06/2012,45.99,47.87,48.08,47.23,47.27,6023500
28/06/2012,45.94,47.82,47.84,46.98,47.67,6674200
29/06/2012,46.59,48.5,48.95,48.22,48.52,10300500
02/07/2012,46.8,48.72,48.75,48.24,48.62,7275600
03/07/2012,46.68,48.59,48.75,48.42,48.67,3060800
05/07/2012,46.22,48.11,48.55,47.83,48.28,7770100
06/07/2012,46.15,48.04,48.18,47.7,47.77,5623100
09/07/2012,46.11,48,48.18,47.76,48.06,5596200
10/07/2012,45.5,47.36,48.38,47.18,48.17,8787500
11/07/2012,45.41,47.27,47.59,46.97,47.45,6501000
12/07/2012,45.54,47.41,47.8,46.85,47.38,8270700
