Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,78.8,86,86.67,85.9,85.97,20906800
04/01/2012,78.82,86.02,86.15,85.1,85.79,16130900
05/01/2012,78.58,85.76,85.95,84.92,85.64,17452800
06/01/2012,77.99,85.12,86,85.11,85.92,15942100
09/01/2012,78.34,85.5,85.64,84.97,85,11664200
10/01/2012,78.54,85.72,86.21,85.38,86.07,13080800
11/01/2012,77.96,85.08,85.4,84.47,85.1,14831400
12/01/2012,77.65,84.74,84.92,83.94,84.39,17357200
13/01/2012,77.77,84.88,84.92,83.82,84.16,15551600
17/01/2012,78.52,85.69,86.13,85.4,85.75,15627900
18/01/2012,79.21,86.45,86.5,84.96,85.3,16754200
19/01/2012,79.74,87.03,87.24,85.77,86.34,16383500
20/01/2012,80.17,87.49,87.49,86.72,87.08,19220300
23/01/2012,80.15,87.47,87.94,87.03,87.5,15348400
24/01/2012,79.88,87.18,87.22,86.66,87.08,12363800
25/01/2012,79.92,87.22,87.38,85.81,86.77,18202300
26/01/2012,79.51,86.77,87.71,86.51,87.64,15658200
27/01/2012,78.64,85.83,86.5,85.77,86.24,15976700
30/01/2012,78.33,85.49,85.5,84.59,85.27,17867000
31/01/2012,76.73,83.74,85.34,83.46,84.92,27225800
01/02/2012,76.94,83.97,84.56,83.38,84.23,22266100
02/02/2012,76.54,83.53,84.34,83.19,84.28,18020500
03/02/2012,77.81,84.92,85,84.05,84.24,16145400
06/02/2012,78.57,85.75,85.85,84.49,84.87,15000900
07/02/2012,79.11,86.34,86.44,84.94,85.22,15818400
08/02/2012,78.6,85.32,86.22,84.73,85.83,14762600
09/02/2012,78.2,84.88,85.69,84.67,85.33,17073400
10/02/2012,77.2,83.8,84.1,83.35,84.02,15328900
13/02/2012,77.78,84.42,84.6,83.89,84.34,11473700
14/02/2012,78.01,84.67,84.71,83.85,84.42,12961900
15/02/2012,77.5,84.12,84.92,83.91,84.86,13911600
16/02/2012,78.69,85.41,85.62,84.08,84.45,14769600
17/02/2012,78.88,85.62,86.12,84.92,86.07,16597200
21/02/2012,79.76,86.57,86.78,86.04,86.04,15481300
22/02/2012,80.08,86.92,87.25,86.65,86.84,11983200
23/02/2012,80.17,87.02,87.17,86.47,86.58,12404600
24/02/2012,80.47,87.34,87.47,87.01,87.37,10767100
27/02/2012,80.36,87.23,87.83,86.78,87.15,13323500
28/02/2012,80.28,87.14,87.44,86.55,87.23,14317600
29/02/2012,79.69,86.5,87.49,86.21,87.45,18293200
01/03/2012,80,86.83,87.18,86.41,86.47,12638500
02/03/2012,79.54,86.33,86.75,85.85,86.66,11343400
05/03/2012,80.16,87.01,87.09,85.91,86.17,12803100
06/03/2012,79.1,85.86,86.48,85.42,86.24,16507900
07/03/2012,79.07,85.83,86.12,85.19,86.01,14767700
08/03/2012,78.15,84.83,85.47,84.63,85,19032000
09/03/2012,77.67,84.3,85.13,84.05,85.06,17042500
12/03/2012,78.82,85.55,85.75,84.13,84.5,19014000
13/03/2012,80.02,86.86,86.93,85.61,85.89,16853300
14/03/2012,79.25,86.02,86.83,85.74,86.59,16187300
15/03/2012,79.31,86.09,86.2,85.25,85.89,14523600
16/03/2012,79.64,86.44,86.89,85.92,86.2,30991300
19/03/2012,80.14,86.99,87.18,86.03,86.08,10770400
20/03/2012,79.78,86.6,87.1,86.32,86.46,13613800
21/03/2012,79.24,86.01,86.59,85.77,86.59,14212400
22/03/2012,78.61,85.33,85.94,85.1,85.48,13884400
23/03/2012,78.82,85.55,85.98,85.02,85.36,12557700
26/03/2012,80.18,87.03,87.25,86.07,86.18,17336800
27/03/2012,79.8,86.62,87.25,86.54,87.14,12509200
28/03/2012,79.1,85.86,86.48,85.14,86.36,16155300
