Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,91.39,95.36,96.43,92.83,92.97,8645200
04/01/2012,90.79,94.74,95.13,93.68,94.73,7406200
05/01/2012,90.64,94.58,95.8,92.5,93.95,8131300
06/01/2012,89.53,93.42,93.96,92.42,93.8,5940900
09/01/2012,90.74,94.69,95.11,92.96,93.49,5018200
10/01/2012,94.23,98.33,99.48,97.04,97.36,7682700
11/01/2012,95.6,99.76,100.62,97.5,97.94,7223000
12/01/2012,96.99,101.21,101.45,98.26,100.56,6858700
13/01/2012,94.84,98.96,99.43,97,98,7615800
17/01/2012,93.61,97.68,101.84,96.95,98.62,8041500
18/01/2012,99.96,104.31,105.83,97.8,99,17960300
19/01/2012,103.19,107.68,108.3,104.88,106.25,11480900
20/01/2012,104.21,108.74,109.43,106.6,107.32,8439700
23/01/2012,103.68,108.19,110.9,107.52,108.49,7091800
24/01/2012,104.33,108.87,109.1,106.25,106.79,4543900
25/01/2012,103.76,108.27,108.95,105.93,106.23,7927600
26/01/2012,104.04,108.56,110.3,108.03,108.61,6909600
27/01/2012,107.11,111.77,112.2,107.62,107.77,8403600
30/01/2012,105.16,109.73,110.42,108.77,110.37,6356900
31/01/2012,106.83,111.47,112.5,109.16,110.69,8028400
01/02/2012,108.72,113.45,116.65,111.61,112.61,11333000
02/02/2012,108.67,113.39,115.41,112.71,114.34,6624200
03/02/2012,112.63,117.53,117.57,115.4,115.61,7454500
06/02/2012,112.5,117.39,117.6,116.33,116.39,3421900
07/02/2012,111.15,115.98,116.98,115.31,116.77,5727300
08/02/2012,111.31,116.15,117.04,114.54,116.61,4958200
09/02/2012,111.05,115.88,117.39,115.05,117.19,4769800
10/02/2012,109.37,114.12,115.66,113.26,114.52,5849400
13/02/2012,109.76,114.53,116.07,113.98,115.86,3990000
14/02/2012,108.17,112.87,113.85,111.4,113.66,4870300
15/02/2012,108.46,113.17,115.25,112.91,113.28,6111800
16/02/2012,109.96,114.74,114.98,111.62,112.45,6372400
17/02/2012,111.08,115.91,116.65,114.83,115.46,5182300
21/02/2012,111.77,116.63,117.91,115.93,116.22,5320400
22/02/2012,109.6,114.36,117.14,114.29,116.22,4508500
23/02/2012,110.98,115.8,115.82,113.22,114.62,5609600
24/02/2012,111.04,115.87,116.97,115.11,116.32,4877500
27/02/2012,111.39,116.23,116.65,113.94,114.52,4370200
28/02/2012,112.57,117.11,118.66,115.25,116,6448200
29/02/2012,110.68,115.14,118.13,115.14,116.51,6650700
01/03/2012,116.43,121.13,121.24,115.84,115.97,10485800
02/03/2012,115.31,119.96,122.18,119.86,121.41,7044100
05/03/2012,114.03,118.63,119.95,117.51,119.6,5612700
06/03/2012,109.26,113.67,116.24,113.11,116.12,8161100
07/03/2012,111.89,116.4,116.73,114.29,114.66,5595000
08/03/2012,112.63,117.17,118.68,116.08,117.73,4784100
09/03/2012,112.74,117.29,118.49,116.24,117.62,5000600
12/03/2012,112.45,116.99,117.87,116.28,117.7,4060000
13/03/2012,119.71,124.54,124.85,118.4,118.4,11884700
14/03/2012,115.7,120.37,124.87,119.82,124.52,14837200
15/03/2012,118.29,123.06,123.55,120.12,121.73,7245600
16/03/2012,118.16,122.93,123.5,121.06,123.1,7425700
19/03/2012,119.48,124.3,126,122.2,122.93,8020700
20/03/2012,121.13,126.02,127.86,123.26,123.49,8247000
21/03/2012,121.11,125.99,127.51,124.51,126.68,4820500
22/03/2012,119.9,124.74,125.57,124.09,124.79,5028400
23/03/2012,121.29,126.18,126.8,124.51,125.86,5160600
26/03/2012,123.1,128.07,128.21,126.44,127.26,4444000
27/03/2012,121.43,126.33,128.72,126.2,128.59,5447000
28/03/2012,121.46,126.36,127.24,124.09,126.1,5187900
29/03/2012,118.96,123.76,126.6,122.89,125.66,5538800
30/03/2012,119.55,124.37,125.47,122.93,124.69,4651400
