Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,174.25,186.3,188.71,186,186.73,5646000
04/01/2012,173.53,185.54,186.33,184.94,185.57,4346700
05/01/2012,172.71,184.66,185.03,183.1,184.81,4463100
06/01/2012,170.73,182.54,184.48,182.31,184.39,4897100
09/01/2012,169.84,181.59,182.27,180.27,182.2,5201200
10/01/2012,169.58,181.31,183.72,181.2,183.23,5161000
11/01/2012,170.52,182.32,182.81,180.5,180.73,4110800
12/01/2012,168.87,180.55,181.91,178.38,181.86,6881000
13/01/2012,167.57,179.16,179.61,177.35,179.48,5279200
17/01/2012,168.35,180,182,179.32,180.36,6003400
18/01/2012,169.35,181.07,181.6,179.5,179.83,4600600
19/01/2012,168.84,180.52,182.36,180.35,181.79,8567200
20/01/2012,176.32,188.52,188.97,184.75,185.77,12849700
23/01/2012,177.69,189.98,190.52,187.67,187.91,5751700
24/01/2012,179.51,191.93,192.3,188.52,188.63,5345700
25/01/2012,179.32,191.73,192.24,189.61,191.33,4359700
26/01/2012,178.62,190.98,192.79,190.47,191.79,4004700
27/01/2012,178.14,190.46,191.77,189.81,190.01,3360400
30/01/2012,180.04,192.5,192.73,188.22,189.39,4359000
31/01/2012,180.14,192.6,193.1,191,193.09,4826800
01/02/2012,180.16,192.62,194.81,192.41,193.21,5088800
02/02/2012,179.14,191.53,193.33,191.33,192.72,3907300
03/02/2012,181.11,193.64,194.13,192.54,192.93,4521700
06/02/2012,180.34,192.82,193.76,192,192.48,3639800
07/02/2012,180.84,193.35,194.14,191.97,192.45,3433000
08/02/2012,181.17,192.95,193.58,191.73,192.78,3803800
09/02/2012,181.34,193.13,194.46,192.55,193.03,3876400
10/02/2012,180.67,192.42,192.43,191.28,191.76,3391100
13/02/2012,180.86,192.62,193.69,191.74,193.31,2458800
14/02/2012,180.48,192.22,192.6,190.83,191.76,3398100
15/02/2012,180.51,192.25,193.44,191.26,192.31,4020900
16/02/2012,181.23,193.02,193.25,192,192.61,3525500
17/02/2012,181.61,193.42,193.86,192.3,193.71,3746500
21/02/2012,181.58,193.39,194.24,192.46,193.73,3293600
22/02/2012,182.03,193.87,194.74,192.75,193.03,3275800
