Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,31.97,34.98,35.19,34.01,34.06,44102800
04/01/2012,32.17,34.95,35.15,34.33,34.44,36571200
05/01/2012,32.85,35.68,35.92,34.4,34.71,38381400
06/01/2012,32.55,35.36,35.77,35.14,35.69,33160600
09/01/2012,32.5,35.3,35.68,34.99,35.44,23001800
10/01/2012,33.19,36.05,36.35,35.76,36.07,35972800
11/01/2012,33.75,36.66,36.74,35.66,35.8,29852900
12/01/2012,33.92,36.85,37.05,36.17,36.82,39420700
13/01/2012,33.07,35.92,35.92,35.13,35.26,61571500
17/01/2012,32.14,34.91,35.68,34.5,34.85,55115100
18/01/2012,33.64,36.54,36.68,34.53,34.54,55502100
19/01/2012,34,36.93,37.15,36.71,36.84,37000400
20/01/2012,34.39,37.36,37.4,36.62,36.78,34716500
23/01/2012,34.67,37.66,37.94,37.27,37.31,27499200
24/01/2012,34.67,37.66,37.89,36.8,37.18,25403800
25/01/2012,34.61,37.6,37.82,37.12,37.36,29860700
26/01/2012,34.51,37.49,38.1,37.25,37.88,33284600
27/01/2012,34.25,37.21,37.66,37.15,37.23,27674600
30/01/2012,34.07,37.01,37.17,36.36,36.66,24423600
31/01/2012,34.34,37.3,37.54,36.93,37.53,29649500
01/02/2012,34.61,37.6,38.03,37.5,37.89,41957800
02/02/2012,34.57,37.55,38.16,37.42,37.69,26784200
03/02/2012,35.24,38.28,38.5,38.05,38.27,41074400
06/02/2012,35.11,38.14,38.32,37.81,38.06,23106200
07/02/2012,34.86,37.87,38.12,37.7,37.86,21091900
08/02/2012,35.26,38.3,38.35,37.97,38.05,23258700
09/02/2012,34.85,37.86,38.68,37.84,38.6,28608400
10/02/2012,34.62,37.61,37.77,37.11,37.22,22618800
13/02/2012,35.26,38.3,38.34,37.78,38.08,24828000
14/02/2012,34.91,37.92,38.26,37.44,38.23,27031900
15/02/2012,34.43,37.4,38.4,37.31,38.08,26534900
16/02/2012,34.98,38,38.12,37.05,37.15,22139600
17/02/2012,35.41,38.47,38.64,38.23,38.6,28009300
21/02/2012,35.4,38.46,38.97,38.41,38.65,22804200
22/02/2012,35.05,38.07,38.39,37.9,38.3,23416900
23/02/2012,35.43,38.49,38.52,37.75,38.06,31361400
24/02/2012,35.24,38.28,38.68,38.19,38.66,17586400
27/02/2012,35.96,39.06,39.23,37.79,38.07,34030400
28/02/2012,36.1,39.21,39.55,38.85,39.13,37900900
29/02/2012,36.12,39.24,39.94,39.02,39.33,41187700
01/03/2012,37.16,40.37,40.45,39.47,39.51,44376700
02/03/2012,37.4,40.63,40.88,40.23,40.43,34897900
05/03/2012,37.19,40.4,40.71,40,40.7,30806900
06/03/2012,36.2,39.32,39.87,39.12,39.45,33927500
07/03/2012,36.78,39.95,40.06,39.38,39.46,22875100
08/03/2012,37.23,40.44,40.75,40.22,40.47,22052300
09/03/2012,37.77,41.03,41.44,40.5,40.75,33494200
12/03/2012,37.32,40.54,40.98,40.2,40.86,30763800
13/03/2012,39.94,43.39,43.73,40.82,41.02,77277600
14/03/2012,40.12,43.58,44,43.07,43.62,68028700
15/03/2012,41.15,44.7,44.92,42.93,43.64,57117700
16/03/2012,41.03,44.57,44.92,44.22,44.87,48844500
19/03/2012,41.43,45,45.35,44.21,44.44,41509300
20/03/2012,41.78,45.38,45.6,44.37,44.53,34796200
21/03/2012,41.54,45.12,45.67,44.86,45.53,27267900
22/03/2012,41.1,44.65,45.1,44.41,44.72,27457200
23/03/2012,41.57,45.16,45.25,44.44,44.45,30639300
26/03/2012,42.5,46.17,46.17,45.4,45.48,33529400
27/03/2012,42.24,45.89,46.49,45.83,45.92,33026400
