Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,24.6,26.77,26.96,26.39,26.55,64731500
04/01/2012,25.17,27.4,27.47,26.78,26.82,80516100
05/01/2012,25.43,27.68,27.73,27.29,27.38,56081400
06/01/2012,25.83,28.11,28.19,27.53,27.53,99455500
09/01/2012,25.49,27.74,28.1,27.72,28.05,59706800
10/01/2012,25.58,27.84,28.15,27.75,27.93,60014400
11/01/2012,25.47,27.72,27.98,27.37,27.43,65582400
12/01/2012,25.73,28,28.02,27.65,27.87,49370800
13/01/2012,25.96,28.25,28.25,27.79,27.93,60196100
17/01/2012,25.96,28.26,28.65,28.17,28.4,72395300
18/01/2012,25.94,28.23,28.4,27.97,28.31,64860600
19/01/2012,25.84,28.12,28.44,28.03,28.16,74053500
20/01/2012,27.3,29.71,29.74,28.75,28.82,165902900
23/01/2012,27.32,29.73,29.95,29.35,29.55,76078100
24/01/2012,26.96,29.34,29.57,29.18,29.47,51703300
25/01/2012,27.16,29.56,29.65,29.07,29.07,59231700
26/01/2012,27.1,29.5,29.7,29.4,29.61,49102800
27/01/2012,26.86,29.23,29.53,29.17,29.45,44187700
30/01/2012,27.2,29.61,29.62,28.83,28.97,51114800
31/01/2012,27.13,29.53,29.7,29.23,29.66,50572400
01/02/2012,27.46,29.89,30.05,29.76,29.79,67409900
02/02/2012,27.52,29.95,30.17,29.71,29.9,52223300
03/02/2012,27.78,30.24,30.4,30.09,30.14,41838500
06/02/2012,27.75,30.2,30.22,29.97,30.04,28039700
07/02/2012,27.88,30.35,30.49,30.05,30.15,39242400
08/02/2012,28.17,30.66,30.67,30.22,30.26,49659100
09/02/2012,28.27,30.77,30.8,30.48,30.68,50481600
10/02/2012,28.02,30.5,30.8,30.36,30.64,44605300
13/02/2012,28.1,30.58,30.77,30.43,30.63,33319800
14/02/2012,27.98,30.25,30.46,29.85,30.33,59644000
15/02/2012,27.79,30.05,30.39,30.03,30.33,43311300
16/02/2012,28.94,31.29,31.55,30.3,30.31,94705100
17/02/2012,28.9,31.25,31.32,30.95,31.2,70036500
21/02/2012,29.08,31.44,31.61,31.15,31.18,50829900
22/02/2012,28.92,31.27,31.68,31.18,31.45,49253200
