Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,19.59,21.97,22,21.84,21.86,50402600
04/01/2012,19.41,21.77,21.95,21.75,21.92,30277500
05/01/2012,19.26,21.6,21.72,21.39,21.72,50061500
06/01/2012,19.24,21.57,21.78,21.56,21.72,29993900
09/01/2012,19.46,21.82,21.84,21.51,21.56,39645200
10/01/2012,19.57,21.94,22,21.8,21.94,27730000
11/01/2012,19.53,21.9,21.97,21.76,21.89,28764200
12/01/2012,19.61,21.99,22,21.88,21.95,27358300
13/01/2012,19.48,21.84,21.95,21.7,21.94,29067200
17/01/2012,19.57,21.94,22.17,21.89,21.99,35544000
18/01/2012,19.59,21.97,22,21.76,21.95,34473800
19/01/2012,19.48,21.84,21.91,21.59,21.9,34900900
20/01/2012,19.53,21.9,22.05,21.73,21.89,39805400
23/01/2012,19.36,21.71,21.99,21.63,21.94,33726200
24/01/2012,19.32,21.66,21.67,21.52,21.61,25412600
25/01/2012,19.37,21.72,21.75,21.47,21.51,34775400
26/01/2012,19.29,21.63,21.8,21.49,21.77,135669700
27/01/2012,19.16,21.48,21.6,21.45,21.6,132872800
30/01/2012,19.24,21.58,21.58,21.28,21.39,72305900
31/01/2012,19.08,21.4,21.79,21.22,21.73,55526800
01/02/2012,19.2,21.31,21.53,21.2,21.25,44693400
02/02/2012,19.02,21.11,21.31,20.8,21.23,57510500
03/02/2012,19.1,21.2,21.25,21.05,21.19,41150200
06/02/2012,18.88,20.95,21.18,20.87,21.13,32095100
07/02/2012,18.97,21.05,21.1,20.8,20.87,37375900
08/02/2012,18.93,21.01,21.08,20.85,21,34242100
09/02/2012,19.05,21.14,21.25,21,21.05,28940500
10/02/2012,18.97,21.05,21.06,20.9,21,26910100
13/02/2012,19.19,21.3,21.43,21.13,21.22,29542900
14/02/2012,19.22,21.33,21.42,21.17,21.3,25262900
15/02/2012,19.02,21.11,21.36,21.05,21.32,29616300
16/02/2012,19.22,21.33,21.38,21.06,21.17,24186300
17/02/2012,19.09,21.19,21.48,21.11,21.48,34637200
21/02/2012,19.12,21.22,21.32,21.12,21.26,23297800
22/02/2012,19.25,21.36,21.43,21.1,21.16,28665400
23/02/2012,18.95,21.03,21.38,21.02,21.27,38908600
24/02/2012,19.08,21.18,21.34,21.05,21.14,32903100
27/02/2012,19.16,21.26,21.37,20.75,20.76,35813700
28/02/2012,19.12,21.22,21.28,21.03,21.12,28499100
29/02/2012,19.04,21.13,21.35,21.06,21.18,36245400
01/03/2012,19.36,21.49,21.65,21.05,21.07,47555500
02/03/2012,19.29,21.41,21.5,21.32,21.41,24715800
05/03/2012,19.37,21.5,21.58,21.36,21.36,26669800
06/03/2012,19.17,21.27,21.55,21.19,21.41,36502900
07/03/2012,19.26,21.37,21.59,21.25,21.35,32832600
08/03/2012,19.34,21.46,21.57,21.42,21.51,36903700
09/03/2012,19.35,21.48,21.74,21.44,21.46,39380100
12/03/2012,19.41,21.54,21.64,21.42,21.47,36002100
13/03/2012,19.83,22.01,22.04,21.62,21.64,44692700
14/03/2012,19.76,21.93,22.1,21.89,21.98,36711400
15/03/2012,19.74,21.91,22,21.81,21.95,30906800
16/03/2012,19.77,21.94,22.1,21.88,21.94,65723200
19/03/2012,19.71,21.88,21.96,21.82,21.85,22297800
20/03/2012,19.64,21.8,22,21.76,21.76,24163500
21/03/2012,19.62,21.77,21.98,21.76,21.83,26666200
22/03/2012,19.58,21.73,21.86,21.7,21.73,21099500
23/03/2012,19.66,21.82,21.97,21.71,21.78,23261300
26/03/2012,19.97,22.16,22.26,21.95,21.95,33337900
27/03/2012,20.27,22.5,22.8,22.26,22.29,61258300
28/03/2012,20.19,22.41,22.59,22.21,22.56,32971100
29/03/2012,20.2,22.42,22.45,22.18,22.26,33354300
30/03/2012,20.41,22.65,22.76,22.42,22.45,33995100
02/04/2012,20.35,22.59,22.73,22.49,22.54,34754900
03/04/2012,20.31,22.54,22.66,22.35,22.55,37637800
04/04/2012,20.17,22.39,22.45,22.25,22.42,30366500
05/04/2012,20.13,22.34,22.36,22.22,22.27,22058300
09/04/2012,19.87,22.05,22.23,22.01,22.07,22515600
10/04/2012,19.81,21.99,22.56,21.95,22.03,48116300
11/04/2012,19.78,21.95,22.16,21.92,22.07,37584800
12/04/2012,19.75,21.92,22.05,21.86,22.05,40460000
13/04/2012,19.69,21.85,22,21.81,21.82,36930000
16/04/2012,19.8,21.98,22.06,21.77,21.84,38005200
17/04/2012,20.1,22.31,22.35,21.97,22.03,29099600
