Date, Adj Close, Close, High, Low, Open, Volume
03/01/2012,100.45,102.99,103.4,101.85,103.4,4207300
04/01/2012,98.66,101.15,102.46,100,101.69,4130500
05/01/2012,99.4,101.91,102.21,99.66,100.71,3024100
06/01/2012,98.23,100.71,102.22,100.22,101.96,3272300
09/01/2012,97.44,99.9,101.18,98.78,101.01,4500600
10/01/2012,97.34,99.8,100.95,99.45,100.87,4677900
11/01/2012,96.67,99.11,99.5,98.33,98.98,4754000
12/01/2012,98.84,101.34,101.68,99.38,99.38,4177200
13/01/2012,98.26,100.74,101.79,100.28,100.72,4155800
17/01/2012,100,102.53,102.94,101.19,101.3,4254700
18/01/2012,101.22,103.78,103.88,102.11,102.16,2938100
19/01/2012,99.85,102.37,104.2,102.25,104.16,3641900
20/01/2012,98.1,100.58,102.52,99.8,102.39,5008200
23/01/2012,97.15,99.6,100.89,98.8,100.75,4041600
24/01/2012,98.52,101.01,101.27,98.99,99.05,3035200
25/01/2012,98.08,100.56,100.97,99.8,100.61,3772100
26/01/2012,98.37,100.86,102.15,99.98,100.72,3484800
27/01/2012,98.56,101.05,101.53,99.9,100.41,2840700
30/01/2012,97.42,99.88,100.52,99.5,100.14,3119000
31/01/2012,98.16,100.64,100.78,99.83,100.49,3310100
01/02/2012,99.98,102.51,102.7,100.6,101.18,3844200
02/02/2012,103.45,106.06,107.12,103.59,103.78,8435100
03/02/2012,104.39,107.03,107.82,106.59,106.79,4133300
06/02/2012,104.71,107.36,108.27,106.8,106.94,3337400
07/02/2012,104.34,106.98,107.55,106.06,107.46,3261400
08/02/2012,105.68,108.35,108.64,107.02,107.77,5685500
09/02/2012,109.65,112.42,114.9,112.05,113.06,9900300
10/02/2012,111.09,113.9,114,111.4,111.79,5472200
13/02/2012,109.93,112.71,115.17,112.36,114.25,5519600
14/02/2012,112.4,115.24,115.25,112.09,112.11,4490200
15/02/2012,112.48,115.1,117.15,114.64,116.22,5425300
16/02/2012,111.21,113.8,115.73,113.6,115.46,3992900
17/02/2012,112.39,115.01,115.25,113.8,114.41,3878200
21/02/2012,111.6,114.2,116,113.85,115.26,2704900
22/02/2012,113.71,116.36,116.75,113.3,113.79,3595300
23/02/2012,113.83,116.48,116.8,115.66,116.36,2722700
24/02/2012,114.86,117.54,117.77,115.9,116.49,2773500
27/02/2012,114.2,116.86,117.3,116.3,117.07,3953200
28/02/2012,116.24,118.95,118.97,117.05,117.16,2984300
29/02/2012,113.72,116.37,119.36,116.01,119.02,3804400
01/03/2012,114.51,117.18,117.99,116.55,117.45,2793500
02/03/2012,113.51,116.16,116.97,115.6,116.51,3053400
05/03/2012,113.59,116.24,116.83,115.9,116.16,2538400
06/03/2012,112.22,114.84,115.5,113.54,115.22,3325500
07/03/2012,113.01,115.64,116.1,114.96,115.72,2673500
08/03/2012,115.28,117.97,118.18,116.04,116.68,2380100
09/03/2012,114.5,117.17,118.39,117.01,118.07,2114400
12/03/2012,113.88,116.53,117.55,116.07,117.02,1927300
13/03/2012,114.6,117.27,117.41,115.68,116.91,3196400
14/03/2012,114.09,116.75,117.89,116.47,117.31,3749000
15/03/2012,114.34,117,117.47,116.3,116.62,3323300
16/03/2012,114.02,116.68,117.5,116.27,117.43,4001600
19/03/2012,116.13,118.84,119.72,116.15,116.44,3979600
20/03/2012,113.87,116.52,118.6,116,118.15,2647000
21/03/2012,114.09,116.75,117.65,116.58,117.09,2106800
22/03/2012,114.61,117.28,117.5,116,116.15,2342000
23/03/2012,116.08,118.78,119,116.9,117.51,2537800
26/03/2012,117.33,120.06,120.7,117.25,119.36,4090900
27/03/2012,117.08,119.81,120.28,119.55,119.98,2665500
28/03/2012,116.63,119.35,120.3,118.51,119.68,2248000
29/03/2012,116.29,119,119.18,117.55,118.54,2172800
30/03/2012,115.31,118,119.2,117.6,119.09,3000500
02/04/2012,116.27,118.98,119.9,117.1,118,2944400
03/04/2012,117.62,120.36,120.59,118.37,118.84,3922900
04/04/2012,116.27,118.98,119.68,118.2,119.49,2577200
05/04/2012,118.25,121.01,121.15,118.07,118.32,3348900
09/04/2012,116.78,119.5,120.35,118.71,119.66,3323900
10/04/2012,114.08,116.74,119.77,116.59,119.48,2669800
11/04/2012,114.71,117.38,118.95,116.97,118.02,3542800
12/04/2012,118.26,121.02,121.16,117.19,117.47,4291000
13/04/2012,120.36,123.16,123.68,120.31,120.4,5374300
16/04/2012,118.08,120.83,123.05,120.04,123.04,4577100
17/04/2012,119.3,122.08,122.5,121.25,121.63,2582200
18/04/2012,119.01,121.78,122.48,121.32,121.61,2120000
19/04/2012,118.43,121.19,122.26,120.51,121.27,2130600
20/04/2012,118.25,121.01,122.15,120.58,121.82,1960300
23/04/2012,115.41,118.1,120.81,116.48,120.25,4336800
24/04/2012,116.22,118.93,119.24,117.49,118.35,2357700
25/04/2012,119.02,121.79,122.4,119.56,119.74,3037700
26/04/2012,120.38,123.19,123.5,121.51,121.89,2776900
27/04/2012,120.71,123.52,124.21,122.86,123.74,2446800
30/04/2012,120.18,122.98,124.15,122.31,124.11,2343800
01/05/2012,120.29,123.09,125.35,123.04,123.47,4294500
02/05/2012,119.41,122.19,123.19,120.67,121.61,6341700
03/05/2012,113.76,116.41,122.51,115.38,122.01,11959500
04/05/2012,115.11,117.79,118.89,115.31,116.22,5850900
07/05/2012,115.81,118.51,119.09,116.96,116.96,3369200
08/05/2012,115.45,118.14,119.08,116.15,118.1,3649200
09/05/2012,114.75,117.42,118.98,116.57,117.31,4418200
10/05/2012,115.48,118.17,119.49,117.64,118.3,3367000
11/05/2012,115.23,117.92,118.97,117.26,117.36,2034900
14/05/2012,114.06,116.72,118.36,115.83,116.83,4061600
15/05/2012,113.95,116.61,117.9,116.45,116.45,3147300
16/05/2012,115.07,117.53,118.2,116.3,116.8,4334900
17/05/2012,112.6,115.01,118.26,115.01,117,4453700
18/05/2012,110.28,112.64,115.25,112.5,114.85,6483700
21/05/2012,113.79,116.22,116.32,112.66,113.27,3318000
22/05/2012,115.91,118.39,119.25,116.41,116.41,4648600
23/05/2012,116.68,119.17,119.46,117.39,117.62,4139500
24/05/2012,117.26,119.77,121,118.77,119.72,3187400
25/05/2012,116.87,119.37,120.4,118.95,119.39,2945000
29/05/2012,117.76,120.28,120.95,119,120.15,4501600
30/05/2012,115.03,117.49,119.74,117.46,118.71,4586600
31/05/2012,112.79,115.2,118.36,114.72,117.75,5251000
01/06/2012,109.9,112.25,114.89,111.94,113.64,4662600
04/06/2012,111.77,114.16,114.44,112.02,112.03,4161600
05/06/2012,111.43,113.81,114.53,113.14,113.76,2843700
06/06/2012,113.91,116.34,116.5,114.83,114.97,3096000
07/06/2012,114.37,116.81,118,116.55,117.83,2289500
08/06/2012,114.14,116.58,116.6,115.45,116.39,2594200
11/06/2012,113.92,116.35,117.93,116.22,117.27,2735700
12/06/2012,114.71,117.16,117.16,115.72,116.41,2599700
13/06/2012,112.5,114.9,116.97,114.65,115.8,3722800
14/06/2012,114.05,116.49,117.01,114.26,115.26,3288200
15/06/2012,115.92,118.4,118.5,116.93,117.37,3137900
18/06/2012,117.59,120.1,120.48,117.46,118.01,2732900
19/06/2012,118.81,121.35,121.6,120.5,120.86,2567600
20/06/2012,120.02,122.59,122.59,121.03,121.1,3175700
21/06/2012,116.98,119.48,122.87,119.31,122.58,3265300
22/06/2012,122.34,124.95,124.95,119.33,120.25,9304000
25/06/2012,118.73,121.27,123.29,121.15,122.86,4041000
26/06/2012,120.58,123.16,123.92,121.67,121.76,3282200
27/06/2012,120.86,123.44,124.12,122.53,123.36,3442100
28/06/2012,118.98,121.52,123.41,119.57,123,2878700
29/06/2012,121.04,123.63,124.04,121.53,123.26,3982800
02/07/2012,123.97,126.62,126.8,124,124.26,4260600
03/07/2012,123.7,126.34,127,125.66,126.49,1591100
05/07/2012,124.35,127.01,127.47,125.67,125.74,2824500
06/07/2012,122.66,125.28,126.73,124.78,126.08,2407800
09/07/2012,121.06,123.65,124.05,121.04,123.15,4421000
10/07/2012,119.72,122.28,124.75,121.81,124.33,4551000
11/07/2012,118.21,120.74,122.25,119.58,121.91,2911000
12/07/2012,120.07,122.64,123.43,119.1,119.11,3766900
13/07/2012,121.49,124.09,124.64,122.15,122.5,3028200
16/07/2012,124.49,127.15,131,125.87,128.2,7651900
17/07/2012,125.55,128.23,128.24,126.04,128.13,2691700
18/07/2012,125.15,127.82,128.8,127.4,127.5,2975900
19/07/2012,122.77,125.39,128.63,125.33,128.3,3458100
20/07/2012,123.12,125.75,126.18,123.65,124.61,2954200
23/07/2012,121.87,124.47,125.06,123.25,124.05,2847800
24/07/2012,120.08,122.65,124.76,121.28,124.5,3376000
25/07/2012,119.64,122.2,124.09,121.54,123.38,3826300
26/07/2012,124.12,126.77,128.19,124.2,124.97,5259000
27/07/2012,126.44,129.14,129.5,125.7,126.93,3484400
30/07/2012,128.1,130.84,132.35,128.71,128.85,3163200
31/07/2012,126.37,129.07,130.68,128.5,130.43,2240400
01/08/2012,124.79,127.46,129.41,127,128.5,2903000
02/08/2012,126.56,129.27,129.29,126.19,126.8,2778100
03/08/2012,128.24,130.98,131.54,128.86,130.36,3233600
06/08/2012,128.29,131.03,132.58,130.62,131,2306900
07/08/2012,127.67,130.4,131.43,129.34,130.83,3294800
08/08/2012,128.41,131.15,131.52,130.4,130.78,1990700
09/08/2012,125.82,128.51,130.97,127.75,130.88,3550900
10/08/2012,126.39,129.09,129.29,128,128.19,1496200
13/08/2012,125.63,128.32,129,127.4,128.64,1613500
14/08/2012,127.17,129.89,130.18,128.54,129.12,2183100
15/08/2012,126.57,129.06,130.3,128.59,129.18,1933900
16/08/2012,127.18,129.68,129.95,128.7,128.7,2280300
17/08/2012,126.21,128.69,130.04,128.29,129.99,2395600
20/08/2012,125.69,128.16,128.72,128,128.61,2168600
21/08/2012,125.06,127.52,129.25,127,128.71,1901300
22/08/2012,125.63,128.1,128.5,126.52,126.87,2216500
23/08/2012,124.7,127.15,128.5,126.75,127.93,1750000
24/08/2012,124.22,126.66,127.02,125.81,126.59,2662700
27/08/2012,125.2,127.66,128.14,127.04,127.29,2205100
28/08/2012,124.95,127.4,128.24,127.22,127.86,1965700
29/08/2012,125.55,128.02,128.05,126.72,127.55,2145900
30/08/2012,124.26,126.7,127.1,126.18,127.1,2143400
31/08/2012,125.78,128.25,128.37,126.26,127.51,3446000
04/09/2012,126.04,128.52,129.15,127.62,128.36,2550200
05/09/2012,125.15,127.61,129,126.95,128.86,3174700
06/09/2012,127.01,129.5,129.5,127.8,128.18,3924600
07/09/2012,127.21,129.71,129.96,128.67,129.51,2697300
10/09/2012,126.2,128.68,129.88,128.42,128.42,2908400
11/09/2012,128.96,131.49,132.44,128.81,128.88,3972600
12/09/2012,130.89,133.46,133.48,131.58,131.65,3664000
13/09/2012,132.38,134.98,136.65,132.58,132.95,3936300
14/09/2012,131.66,134.25,135.3,133.75,135.25,3322400
17/09/2012,131.29,133.87,134.85,133.62,134.46,2662300
18/09/2012,131.09,133.66,133.85,132.53,133.09,3298100
19/09/2012,132.19,134.79,135.52,133.73,133.87,2994200
20/09/2012,132.02,134.61,134.84,133.47,134.29,3194900
21/09/2012,132.4,135,135.95,134.9,135.3,7306400
24/09/2012,131.16,133.74,134.97,133.51,134.11,2632500
25/09/2012,131.97,134.56,135.4,133.62,133.84,3849600
26/09/2012,129.97,132.52,134.56,132.38,134.14,2659300
27/09/2012,131.33,133.91,134.24,132.52,132.71,2108200
28/09/2012,131.69,134.28,134.62,133.24,133.98,2357900
01/10/2012,134.1,136.73,137.9,134.87,134.87,3675200
02/10/2012,133.38,136,137.1,135.48,136.59,2510400
03/10/2012,135.85,138.52,138.6,135.99,136.65,2929400
04/10/2012,136.98,139.67,139.82,138.2,138.8,2118900
05/10/2012,137.56,140.26,141.59,139.5,140.74,2820200
08/10/2012,136.04,138.71,139.5,138.56,139,1700900
09/10/2012,134.11,136.74,139.38,136.72,139.17,2494500
10/10/2012,134.77,137.42,137.98,136.32,136.63,2012600
11/10/2012,136.37,139.05,139.83,138.19,138.2,3514400
12/10/2012,136.44,139.12,139.99,138.43,139.37,2029000
15/10/2012,137.2,139.89,140.24,138.6,139.36,2423600
16/10/2012,138.44,141.16,141.77,140.02,140.2,2081100
17/10/2012,139.81,142.56,142.77,140.8,141.16,2531500
18/10/2012,139.15,141.88,143.1,141.13,142.36,2810400
19/10/2012,137.27,139.97,142.36,139.76,142.31,2533600
22/10/2012,136.32,139,140.05,138.03,139.81,2445700
23/10/2012,134.01,136.64,137.98,135.93,137.95,2980800
24/10/2012,133.86,136.49,138.37,136.44,137.5,2869500
25/10/2012,134.9,137.55,138.7,136.52,137.83,3968900
26/10/2012,135.65,138.31,138.89,136.87,137.83,3037200
31/10/2012,136.09,138.76,139.97,137.4,137.6,3567800
01/11/2012,141.11,143.88,144.36,140.3,140.82,5327500
02/11/2012,140.64,143.4,146.41,143.4,144.06,4624500
05/11/2012,138.77,141.5,143.89,141.22,142.75,3466000
06/11/2012,141.09,143.86,144.84,141.9,142.48,2272300
07/11/2012,139.81,142.56,143.59,141.53,142.54,2607900
08/11/2012,139.32,142.06,143.25,141.88,142.15,2533300
09/11/2012,140.18,142.93,143.81,140.28,140.92,2949900
12/11/2012,140.48,143.24,143.78,142.02,142.02,2235900
13/11/2012,139.71,142.45,144.79,142.45,142.6,2537300
14/11/2012,137.57,139.95,143.23,139.65,142.6,3402000
15/11/2012,137.62,140,140.48,138.53,140,3429400
16/11/2012,140.29,142.71,143.55,140.02,140.02,4158100
