Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 34.12, 35.02, 35.10, 34.89, 35.07, 17130700 
2014-06-05, 34.20, 35.10, 35.13, 34.80, 35.07, 22265300 
2014-06-04, 34.15, 35.05, 35.20, 34.95, 35.20, 26906000 
2014-06-03, 34.30, 35.20, 35.60, 35.15, 35.43, 22262300 
2014-06-02, 34.53, 35.44, 35.55, 35.30, 35.50, 16222600 
2014-06-09, 34.11, 35.01, 35.12, 34.94, 35.05, 17660300 
2012-12-19, 30.59, 33.91, 34.34, 33.88, 34.27, 25205500 
2012-12-18, 30.98, 34.34, 34.44, 33.97, 34.14, 34858000 
2013-06-14, 33.21, 35.91, 36.31, 35.89, 36.20, 23972700 
2012-12-13, 30.96, 34.32, 34.63, 34.26, 34.50, 18939300 
2012-12-12, 31.12, 34.49, 34.69, 34.24, 34.25, 24038700 
2012-12-11, 30.81, 34.15, 34.23, 33.81, 33.81, 23725800 
2012-12-10, 30.43, 33.73, 33.88, 33.47, 33.68, 20842600 
2012-12-17, 30.88, 34.23, 34.27, 33.96, 34.08, 24809000 
2012-12-14, 30.68, 34.01, 34.39, 33.98, 34.25, 26190800 
2012-05-16, 29.24, 33.19, 33.55, 33.17, 33.47, 22541800 
2012-05-15, 29.38, 33.35, 33.60, 33.25, 33.31, 28024400 
2013-06-28, 32.74, 35.40, 35.69, 35.31, 35.55, 23913900 
2013-06-26, 32.67, 35.33, 35.49, 35.09, 35.42, 21911600 
2013-06-27, 32.95, 35.63, 35.95, 35.50, 35.53, 18251500 
2013-06-24, 31.87, 34.46, 34.85, 34.13, 34.31, 71219500 
2013-06-25, 32.39, 35.03, 35.21, 34.54, 34.69, 67155500 
2013-06-20, 31.77, 34.35, 35.20, 34.32, 35.00, 31797500 
2013-06-21, 31.88, 34.47, 34.73, 34.10, 34.55, 97444100 
2012-02-01, 25.71, 29.60, 29.93, 29.58, 29.91, 30615800 
2012-02-03, 26.01, 29.95, 30.07, 29.86, 29.97, 26294400 
2012-02-02, 25.88, 29.79, 29.91, 29.72, 29.87, 25698100 
2012-02-07, 26.09, 30.04, 30.15, 29.80, 29.85, 24180600 
2012-02-06, 26.03, 29.97, 29.98, 29.69, 29.83, 23567300 
2012-02-09, 26.05, 29.99, 30.06, 29.88, 30.06, 18073900 
2012-02-08, 26.08, 30.02, 30.15, 30.02, 30.04, 20115200 
