Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 123.14, 124.19, 124.70, 123.54, 123.70, 4295400 
2014-06-05, 122.48, 123.52, 123.78, 122.46, 122.53, 4220600 
2014-06-04, 121.32, 122.35, 122.68, 122.00, 122.32, 3285500 
2014-06-03, 121.52, 122.55, 122.82, 121.72, 122.39, 3563800 
2014-06-02, 121.18, 122.21, 123.04, 122.01, 122.93, 3689800 
2014-06-09, 123.32, 124.37, 124.64, 123.88, 124.01, 3657700 
2012-12-19, 103.70, 109.91, 111.11, 109.89, 110.47, 7623200 
2012-12-18, 103.88, 110.10, 110.40, 108.32, 108.54, 7102700 
2013-06-14, 115.29, 120.28, 121.68, 120.10, 121.13, 4415300 
2012-12-13, 101.81, 107.91, 108.54, 107.46, 108.54, 4909800 
2012-12-12, 101.97, 108.08, 109.18, 107.93, 108.17, 5968200 
2012-12-11, 101.65, 107.74, 108.23, 107.15, 107.29, 5922700 
2012-12-10, 100.91, 106.96, 107.69, 106.47, 107.10, 5512100 
2012-12-17, 102.54, 108.68, 108.84, 107.94, 107.97, 6097100 
2012-12-14, 101.73, 107.82, 108.39, 107.40, 107.61, 5889300 
2012-05-16, 92.89, 100.10, 101.78, 100.01, 100.77, 6423800 
2012-05-15, 92.80, 100.90, 102.66, 100.71, 102.04, 8421000 
2013-06-28, 113.43, 118.34, 119.56, 118.14, 118.79, 6504400 
2013-06-26, 113.25, 118.15, 118.54, 117.00, 118.34, 4820700 
2013-06-27, 113.78, 118.71, 119.54, 118.49, 118.52, 4459400 
2013-06-24, 111.97, 116.82, 118.03, 116.02, 117.71, 6785700 
2013-06-25, 112.57, 117.45, 117.87, 116.92, 117.75, 5983100 
2013-06-20, 113.05, 117.95, 119.66, 117.57, 119.54, 7624100 
2013-06-21, 113.99, 118.93, 119.54, 117.26, 119.24, 10692100 
2012-02-01, 93.82, 102.79, 104.42, 102.68, 104.42, 7824500 
2012-02-03, 96.29, 105.50, 105.60, 104.48, 104.91, 6818600 
2012-02-02, 94.64, 103.69, 103.96, 102.88, 103.03, 5897200 
2012-02-07, 97.50, 106.83, 107.06, 105.44, 106.02, 6034700 
2012-02-06, 97.36, 106.67, 106.76, 104.37, 104.62, 6443600 
2012-02-09, 97.08, 106.37, 107.41, 106.07, 107.18, 4751400 
2012-02-08, 97.44, 106.76, 107.50, 106.09, 107.27, 5383700 
2013-03-28, 112.98, 118.82, 120.73, 118.76, 120.44, 8280100 
