Date, Adj Close, Close, High, Low, Open, Volume
02/01/2013,35.73,37.6,37.6,36.66,36.99,21872400
03/01/2013,35.73,37.6,37.6,37.11,37.45,16357900
04/01/2013,35.79,37.66,37.87,37.52,37.65,15311300
07/01/2013,35.45,37.3,37.52,37.1,37.52,14610200
08/01/2013,35.2,37.04,37.28,36.91,37.19,14324300
09/01/2013,35.19,37.03,37.2,36.83,37.2,10563700
10/01/2013,35.12,36.96,37.17,36.76,37.12,15603700
11/01/2013,35.08,36.91,36.94,36.52,36.84,15644800
14/01/2013,35.15,36.99,37.11,36.8,36.95,11001500
15/01/2013,35.47,37.32,37.43,36.8,36.99,12721600
16/01/2013,35.47,37.32,37.42,37.12,37.21,9168000
17/01/2013,35.65,37.51,37.66,37.33,37.43,12121800
18/01/2013,35.83,37.7,37.71,37.31,37.49,14056100
22/01/2013,35.28,37.13,37.74,37.05,37.74,21249400
23/01/2013,35.28,37.13,37.26,37.04,37.08,13570200
24/01/2013,35.27,37.11,37.25,37,37.2,13258900
25/01/2013,35.21,37.05,37.25,36.91,37.18,14040700
28/01/2013,35.17,37.01,37.11,36.86,37.07,13386500
29/01/2013,35.56,37.42,37.57,36.86,36.88,17705800
30/01/2013,35.64,37.5,37.61,37.32,37.4,13219400
31/01/2013,35.39,37.24,37.53,37.11,37.53,12969100
01/02/2013,35.67,37.54,37.71,37.37,37.54,11932600
04/02/2013,35.49,37.35,37.58,37.3,37.48,9456300
05/02/2013,36.24,38.14,38.16,37.56,37.56,17897300
06/02/2013,36.41,38.31,38.43,38,38.13,16823700
07/02/2013,36.98,38.91,39.06,38.35,38.42,18805300
08/02/2013,36.84,38.77,38.94,38.6,38.85,12308000
11/02/2013,36.69,38.61,38.83,38.41,38.71,12159900
12/02/2013,35.69,37.56,38.16,37.28,38.11,30700500
13/02/2013,35.36,37.21,37.94,37.01,37.67,19943800
14/02/2013,35.01,36.84,37.51,36.7,37.24,22748600
15/02/2013,35.56,37.42,37.42,36.54,36.94,25204300
19/02/2013,35.8,37.67,37.77,37.46,37.51,14850600
20/02/2013,35.86,37.73,37.88,37.41,37.7,12949300
21/02/2013,35.84,37.71,37.79,37.43,37.62,14135100
22/02/2013,36.61,38.52,38.52,37.71,37.76,20102800
25/02/2013,35.85,37.72,38.72,37.72,38.56,15874600
26/02/2013,36.22,38.11,38.19,37.78,37.95,15770000
27/02/2013,36.54,38.45,38.54,37.92,38.03,14271100
28/02/2013,36.8,38.72,38.97,38.42,38.47,19005500
01/03/2013,36.78,38.7,38.79,38.49,38.49,13724500
04/03/2013,36.89,38.82,38.82,38.45,38.6,9934300
05/03/2013,36.76,38.68,39,38.56,38.98,13240700
06/03/2013,37.08,39.02,39.04,38.7,38.8,11653900
07/03/2013,37.18,39.12,39.19,38.84,39.04,15094900
08/03/2013,37.27,39.22,39.42,39.03,39.17,11183600
11/03/2013,37.36,39.31,39.38,39.18,39.2,9200400
12/03/2013,37.02,38.96,39.31,38.8,39.28,11375900
13/03/2013,36.94,38.59,38.87,38.55,38.82,14358300
14/03/2013,37.35,39.02,39.12,38.66,38.82,14572500
15/03/2013,37.17,38.83,38.94,38.66,38.82,20781900
18/03/2013,37.1,38.76,38.94,38.57,38.61,11479900
19/03/2013,37.65,39.33,39.4,38.82,38.92,15192000
20/03/2013,38.16,39.87,39.92,39.36,39.4,19271900
21/03/2013,38.35,40.07,40.43,39.76,39.85,23063600
22/03/2013,38.33,40.04,40.28,39.89,39.98,16128500
25/03/2013,38.4,40.12,40.25,39.96,40.11,15718400
26/03/2013,38.95,40.69,40.7,40.13,40.13,13666500
27/03/2013,38.5,40.22,40.54,40.06,40.45,14559900
28/03/2013,38.71,40.44,40.6,40.02,40.38,14227200
01/04/2013,38.72,40.45,40.49,40.17,40.39,8200500
02/04/2013,38.98,40.72,40.9,40.42,40.43,13359200
03/04/2013,38.45,40.17,40.82,40.08,40.78,13639200
04/04/2013,38.8,40.54,40.59,40.2,40.27,11435900
05/04/2013,38.36,40.08,40.36,40.01,40.21,10729500
08/04/2013,39.11,40.86,40.87,39.77,40.06,22757900
09/04/2013,38.97,40.71,41.13,40.51,40.81,21056100
10/04/2013,39.31,41.07,41.17,40.71,40.78,9703700
11/04/2013,39.42,41.18,41.41,41.06,41.13,10962500
12/04/2013,39.32,41.08,41.11,40.68,40.91,10394700
15/04/2013,38.37,40.09,40.99,40.05,40.85,16050600
16/04/2013,40.56,42.37,42.48,41.25,41.4,32135700
17/04/2013,40.73,42.55,42.7,42.03,42.14,24208000
18/04/2013,40.3,42.1,42.65,42.09,42.48,16034200
19/04/2013,40.83,42.66,42.77,42.2,42.28,13875800
22/04/2013,40.89,42.72,42.85,42.4,42.52,10544100
23/04/2013,40.87,42.7,42.96,42.26,42.78,11216200
24/04/2013,40.35,42.15,42.9,42.1,42.64,11368200
25/04/2013,40.54,42.35,42.54,42.08,42.26,10197100
26/04/2013,40.3,42.1,42.43,42.09,42.18,15159800
29/04/2013,40.43,42.24,42.29,41.92,42.24,11311100
30/04/2013,40.52,42.33,42.39,41.88,42.15,13432200
01/05/2013,40.4,42.21,42.56,42.14,42.15,8710600
02/05/2013,40.16,41.96,42.16,41.49,41.66,18709600
03/05/2013,40.43,42.24,42.42,41.96,42.17,11757800
06/05/2013,40.28,42.08,42.29,41.87,42.29,9356100
07/05/2013,40.87,42.7,42.71,42.15,42.21,13785300
08/05/2013,40.64,42.46,42.68,42.16,42.54,12636300
09/05/2013,40.32,42.12,42.56,42,42.51,10113700
10/05/2013,40.35,42.15,42.24,41.85,42.11,9927000
13/05/2013,40.38,42.19,42.44,42,42.14,9291000
14/05/2013,40.7,42.52,42.67,42.01,42.18,13023900
15/05/2013,41.08,42.92,43.1,42.39,42.5,12306200
16/05/2013,41.25,43.09,43.43,42.79,42.91,12330000
17/05/2013,41.13,42.97,43.13,42.56,43.05,12611200
20/05/2013,40.57,42.38,42.95,42.3,42.95,9966000
21/05/2013,40.53,42.34,42.56,42.07,42.48,9148800
22/05/2013,40.44,42.25,42.86,42.04,42.28,13615600
23/05/2013,40.13,41.93,42.07,41.56,41.93,10934200
24/05/2013,40.43,42.24,42.37,41.5,41.54,11542100
28/05/2013,40.73,42.55,43.05,42.4,42.6,14412100
29/05/2013,39.63,41.4,42.43,41.31,42.34,16986600
30/05/2013,39.02,40.77,41.6,40.75,41.49,20874500
31/05/2013,38.28,39.99,40.77,39.99,40.65,26184400
03/06/2013,39.06,40.81,40.84,39.63,39.95,16577200
04/06/2013,39.65,41.42,41.72,40.95,41.59,19241000
05/06/2013,38.91,40.65,41.4,40.6,41.4,16429300
06/06/2013,39.04,40.79,40.79,40.31,40.55,11171600
07/06/2013,39.64,41.41,41.73,40.98,41.2,14459600
10/06/2013,39.42,41.18,41.52,41.04,41.5,11247400
11/06/2013,39.04,40.79,40.98,40.4,40.88,16491600
12/06/2013,38.93,40.39,40.94,40.28,40.79,11611100
13/06/2013,38.95,40.41,40.48,39.68,40.31,17861200
14/06/2013,38.88,40.34,40.79,40.26,40.38,13635100
17/06/2013,39.21,40.68,40.91,40.4,40.54,12409200
18/06/2013,39.45,40.93,40.99,40.57,40.7,9893100
19/06/2013,38.95,40.41,41.44,40.41,41.01,16936100
20/06/2013,37.71,39.13,40.35,38.97,40.27,24899700
21/06/2013,38.32,39.76,39.97,39.3,39.63,21938300
24/06/2013,38.1,39.53,40.01,39.13,39.45,16433700
25/06/2013,38.28,39.72,39.93,39.44,39.82,12942100
26/06/2013,38.87,40.33,40.48,40.06,40.08,13855600
27/06/2013,38.8,40.26,40.88,40.24,40.65,11459100
