Date, Adj Close, Close, High, Low, Open, Volume
02/01/2013,50.48,51.1,51.25,50.64,50.8,11674700
03/01/2013,50.59,51.21,51.34,50.84,51.05,7566600
04/01/2013,51.55,52.19,52.34,51.33,51.38,8745900
07/01/2013,50.35,50.97,51.76,50.66,51.76,9472100
08/01/2013,50.14,50.76,51.18,50.57,50.88,8637600
09/01/2013,50.16,50.78,51.5,50.76,50.93,8389000
10/01/2013,50.17,50.79,51.24,50.59,50.87,8097400
11/01/2013,49.96,50.58,51.02,50.45,50.82,7149000
14/01/2013,49.97,50.59,50.83,50.18,50.4,9308800
15/01/2013,50.47,51.09,51.15,50.43,50.47,7299500
16/01/2013,50.9,51.53,51.78,50.8,50.85,7371800
17/01/2013,51.77,52.41,52.7,51.84,51.84,10132100
18/01/2013,51.7,52.34,52.34,51.81,52.24,8490900
22/01/2013,52.09,52.73,52.8,52.18,52.39,6635200
23/01/2013,53.29,53.95,54.16,52.78,52.86,13842700
24/01/2013,53.29,53.95,54.87,53.92,54.03,13608000
25/01/2013,53.72,54.38,54.56,53.61,53.8,7939400
28/01/2013,53.7,54.36,54.56,54.1,54.28,7133500
29/01/2013,53.33,53.99,54.21,53.53,54.15,7786400
30/01/2013,53.13,53.79,54,53.55,53.85,9821800
31/01/2013,53.22,53.88,54.25,53.65,53.84,7333900
01/02/2013,53.92,54.59,54.87,54.15,54.18,9552300
04/02/2013,53.24,53.9,54.5,53.8,54.16,7717400
05/02/2013,53.63,54.29,54.41,54,54.36,10246400
06/02/2013,53.86,54.52,55.5,54.41,55.4,26833600
07/02/2013,53.7,54.36,54.48,53.41,54.07,11723200
08/02/2013,53.99,54.66,54.72,54.31,54.38,9584300
11/02/2013,54.08,54.75,54.98,54.59,54.65,6358600
12/02/2013,54.28,54.95,55.05,54.69,54.77,8758100
13/02/2013,54.29,54.96,55.3,54.67,55.08,5701400
14/02/2013,54.21,54.88,55.17,54.71,54.92,8564500
15/02/2013,54.93,55.61,55.62,54.89,55.05,17783400
19/02/2013,55.05,55.73,55.95,55.57,55.58,7780500
20/02/2013,53.93,54.6,55.82,54.56,55.62,8460700
21/02/2013,53.51,54.17,54.82,54.01,54.58,6802500
22/02/2013,53.59,54.25,54.58,53.93,54.39,7603600
25/02/2013,52.94,53.59,54.79,53.59,54.6,9830200
26/02/2013,53.24,53.9,54.04,53.6,53.81,6238300
27/02/2013,53.82,54.48,54.66,53.85,53.9,7243500
28/02/2013,53.92,54.59,55.04,54.39,54.54,6605000
01/03/2013,54.66,55.33,55.37,54.3,54.31,8311500
04/03/2013,55.12,55.8,55.84,55,55.16,6357400
05/03/2013,55.79,56.48,56.58,55.9,55.95,7067900
06/03/2013,55.67,56.36,56.84,56.25,56.53,5572600
07/03/2013,55.63,56.32,56.47,56.01,56.36,4813700
08/03/2013,56.69,57.39,57.51,56.52,56.56,8157800
11/03/2013,56.96,57.66,57.75,57.34,57.39,7155200
12/03/2013,56.41,57.11,57.63,56.7,57.52,7159100
13/03/2013,56.64,57.34,57.44,56.94,57.16,5209800
14/03/2013,57.05,57.75,57.82,57.27,57.35,5908200
15/03/2013,56.88,57.58,57.78,57.34,57.5,13788100
18/03/2013,56.14,56.83,57.19,56.75,57.08,5125800
19/03/2013,55.62,56.31,57.05,55.76,56.83,8884200
20/03/2013,56.25,56.94,57.15,56.54,56.59,6018700
21/03/2013,55.62,56.31,56.85,56.16,56.74,5168500
22/03/2013,56.09,56.78,57.1,56.52,56.65,5500200
25/03/2013,55.52,56.21,57.11,55.87,57,7881500
26/03/2013,55.94,56.63,56.73,56.33,56.41,4675600
27/03/2013,55.78,56.47,56.5,55.99,56.34,6392400
28/03/2013,56.11,56.8,56.94,56.5,56.59,6705600
01/04/2013,56,56.69,57.14,56.15,56.89,6722400
02/04/2013,56.76,57.46,57.46,56.96,57.04,6575300
03/04/2013,56.55,57.25,57.75,57,57.64,8101000
04/04/2013,56.89,57.59,57.72,57.18,57.28,6412400
05/04/2013,57,57.7,57.73,56.37,56.89,7034700
08/04/2013,58.1,58.82,58.82,57.76,57.83,9796200
09/04/2013,58.42,59.14,59.24,58.52,58.72,8864800
10/04/2013,59.38,60.11,60.14,59.34,59.37,8438100
11/04/2013,59.81,60.55,60.67,60.02,60.11,9241800
12/04/2013,59.81,60.55,60.73,60.27,60.29,8533000
15/04/2013,58.16,58.88,60.67,58.84,60.26,12027900
16/04/2013,60.01,60.75,60.75,59.08,59.26,10309400
17/04/2013,59.94,60.68,60.69,60.02,60.35,11531200
18/04/2013,59.26,59.99,60.67,59.88,60.64,9203200
19/04/2013,60.81,61.56,61.56,60.25,60.25,9488300
22/04/2013,61.25,62.01,62.1,61.15,61.59,6306900
23/04/2013,61.83,62.59,62.62,61.54,62.4,6260800
24/04/2013,61.18,61.94,62.9,61.59,62.71,7335400
25/04/2013,61.24,62,62.17,61.55,62.01,6680900
26/04/2013,61.12,61.87,62.29,61.55,62.06,7038500
