Date, Adj Close, Close, High, Low, Open, Volume
02/01/2013,83.97,88.71,88.72,87.24,87.79,16143700
03/01/2013,83.82,88.55,88.89,88.16,88.46,13268200
04/01/2013,84.21,88.96,89.09,88.37,88.5,11427900
07/01/2013,83.23,87.93,88.49,87.57,88.31,11799800
08/01/2013,83.75,88.48,88.48,87.29,87.82,14226400
09/01/2013,83.43,88.14,88.54,87.75,88.4,10892200
10/01/2013,84.34,89.1,89.48,88.37,88.75,13099600
11/01/2013,84.82,89.61,89.71,88.86,88.97,11645600
14/01/2013,84.8,89.58,89.75,89.32,89.46,9606700
15/01/2013,84.75,89.53,89.61,89,89.18,9195400
16/01/2013,84.69,89.47,89.48,89.07,89.16,9645000
17/01/2013,85.38,90.2,90.94,89.6,89.76,13400300
18/01/2013,85.95,90.8,90.83,89.83,90.09,17196000
22/01/2013,86.06,90.92,90.94,90.21,90.27,11897500
23/01/2013,85.86,90.7,90.88,90.42,90.5,10906800
24/01/2013,86.47,91.35,91.72,90.75,90.88,11100000
25/01/2013,86.83,91.73,91.8,91.13,91.57,11090600
28/01/2013,86.24,91.11,91.67,90.77,91.67,11617500
29/01/2013,86.86,91.76,91.93,91.2,91.21,11700600
30/01/2013,85.83,90.67,91.72,90.38,91.17,15645400
31/01/2013,85.16,89.97,91.21,89.74,90.69,15991500
01/02/2013,85.23,90.04,90.5,89.36,90.44,15699200
04/02/2013,84.39,89.15,89.62,88.84,89.41,13347300
05/02/2013,84.95,89.74,90.19,89.42,89.88,11679700
06/02/2013,84.99,89.79,89.89,89.16,89.37,11768700
07/02/2013,84.07,88.25,89.22,87.61,89.21,13463300
08/02/2013,84.41,88.61,88.8,88.11,88.5,11412300
11/02/2013,84.1,88.28,88.51,87.97,88.35,8764700
12/02/2013,84.27,88.46,88.62,87.92,88.25,9752100
13/02/2013,84.47,88.67,88.77,88.24,88.46,8940300
14/02/2013,84.33,88.52,88.81,88.06,88.34,13238900
15/02/2013,84.17,88.36,88.61,87.8,88.57,15696900
19/02/2013,85.09,89.32,89.41,88.38,88.54,12158900
20/02/2013,84.76,88.97,89.82,88.9,89.14,13936400
21/02/2013,84.39,88.59,89.02,88.36,88.79,10939800
22/02/2013,84.98,89.2,89.28,88.4,89.02,10260200
25/02/2013,83.55,87.7,90.19,87.7,89.88,15302900
26/02/2013,84.32,88.51,88.98,87.76,88.5,15073200
27/02/2013,85.29,89.53,89.65,88.31,88.5,11195200
28/02/2013,85.31,89.55,89.81,89.03,89.67,14552000
01/03/2013,85.19,89.43,89.68,88.92,89.07,11301600
04/03/2013,84.74,88.95,89.25,88.46,89.13,10994000
05/03/2013,85.37,89.61,90.15,89.29,89.48,13072600
06/03/2013,85.32,89.56,89.95,89.05,89.6,13234400
07/03/2013,84.51,88.71,89.76,88.68,89.63,12905300
08/03/2013,84.76,88.97,89.23,88.35,89.01,11896300
11/03/2013,84.94,89.16,89.55,88.54,89.01,12454800
12/03/2013,84.94,89.16,89.91,89.01,89.45,11470000
13/03/2013,85.03,89.26,89.5,88.83,89.02,10539900
14/03/2013,85.58,89.83,89.91,89.41,89.41,13775500
15/03/2013,85.14,89.37,89.61,88.79,89.2,29240100
18/03/2013,84.57,88.77,89.39,88.55,88.74,11553700
19/03/2013,84.38,88.58,89.09,88.02,88.89,11987900
20/03/2013,84.43,88.63,89.21,88.3,88.95,11319000
21/03/2013,83.99,88.17,88.64,87.9,88.12,13447500
22/03/2013,85.06,89.29,89.29,88.32,88.4,10786600
25/03/2013,84.8,89.02,89.9,88.66,89.5,12900800
26/03/2013,85.86,90.13,90.3,89.36,89.41,12329600
27/03/2013,86.29,90.58,90.74,89.47,89.56,12350800
28/03/2013,85.84,90.11,90.98,89.99,90.64,17485200
01/04/2013,86.47,90.77,90.99,89.98,90.13,9414200
02/04/2013,86.29,90.58,90.92,90.28,90.59,9991800
03/04/2013,85.67,89.93,90.83,89.86,90.65,12197100
04/04/2013,85.52,89.77,90.33,89.22,90.1,11582000
05/04/2013,84.79,89.01,89.21,88.4,88.61,12771600
08/04/2013,84.4,88.6,89.11,88.15,89.11,11013900
09/04/2013,84.57,88.77,89.34,88.59,88.69,10753400
10/04/2013,84.48,88.68,89.16,88.2,88.45,14823700
11/04/2013,84.99,89.22,89.27,88.23,88.95,14979900
12/04/2013,84.78,88.99,89.19,88.41,88.88,11505100
15/04/2013,82.39,86.49,88.67,86.27,88.29,19626200
16/04/2013,82.51,86.61,87.23,86.09,87.19,14578800
17/04/2013,82,86.08,86.38,85.02,86.21,17341200
18/04/2013,82.52,86.62,87.08,85.78,86.28,14730400
19/04/2013,83.31,87.45,87.49,86.43,87.27,18393300
22/04/2013,83.92,88.09,88.32,87.29,87.61,11262000
23/04/2013,85.07,89.3,89.49,87.94,88.39,15567700
24/04/2013,85.19,89.43,89.89,89.35,89.45,13028800
25/04/2013,83.9,88.07,88.9,87.65,88.89,16328700
26/04/2013,83.83,88,88.28,87.6,87.81,10791800
29/04/2013,84.03,88.21,88.83,88.01,88.26,11093000
30/04/2013,84.78,88.99,88.99,87.76,88.26,14572600
01/05/2013,83.37,87.51,88.84,87.48,88.52,11616500
02/05/2013,84.43,88.63,88.84,87.74,87.98,11330100
03/05/2013,85.76,90.02,90.19,88.92,89,13036600
06/05/2013,86.29,90.58,90.88,89.93,90.25,10613400
07/05/2013,86.83,91.15,91.15,90.14,90.62,11088900
08/05/2013,87.36,91.7,91.85,91.03,91.05,13638300
09/05/2013,87.32,91.03,91.56,90.69,91.14,13771900
10/05/2013,86.46,90.14,90.95,89.79,90.87,10975400
13/05/2013,86.43,90.1,90.14,89.43,89.8,9810100
14/05/2013,87.4,91.11,91.19,90.02,90.15,9890300
15/05/2013,87.52,91.24,91.32,90.41,90.64,10399400
16/05/2013,87,90.7,91.29,90.5,90.8,10469600
17/05/2013,88.02,91.76,91.88,90.53,91.07,12721300
20/05/2013,88.75,92.52,92.69,91.46,91.61,12417700
21/05/2013,89.02,92.8,93.43,92.38,92.67,12519900
22/05/2013,88.43,92.19,93.5,91.81,92.83,19253300
23/05/2013,88.05,91.79,92.36,91.36,91.56,15357300
24/05/2013,87.8,91.53,91.77,91,91.38,12771900
28/05/2013,88.61,92.38,93.18,91.76,92.94,15197800
29/05/2013,88.33,92.08,92.42,91.59,91.76,11563200
30/05/2013,88.34,92.09,92.68,91.6,91.97,9734700
31/05/2013,86.78,90.47,92.37,90.46,91.95,17917400
03/06/2013,87.73,91.46,91.51,90.48,90.53,14177500
04/06/2013,87.09,90.79,91.49,90.22,91.18,12481300
05/06/2013,85.99,89.65,91.12,89.61,90.68,12888000
06/06/2013,86.55,90.23,90.23,89,89.45,15393300
07/06/2013,87.72,91.45,91.5,90.49,90.89,12504700
10/06/2013,87.4,91.12,91.94,90.87,91.93,10372300
11/06/2013,86.77,90.46,91.04,90.23,90.38,10739400
12/06/2013,86.08,89.74,91.32,89.59,91.13,10864500
13/06/2013,87.61,91.33,91.71,89.61,89.63,13501300
14/06/2013,86.89,90.58,91.3,90.29,91.16,12158400
17/06/2013,87.78,91.51,91.77,90.77,90.97,12026400
18/06/2013,88.18,91.93,92.06,91.26,91.36,10678200
19/06/2013,87.29,91,92.27,91,91.79,14189500
20/06/2013,85.42,89.05,90.52,88.79,90.24,21077700
21/06/2013,85.83,89.48,90.14,88.85,89.76,25493800
24/06/2013,84.87,88.48,89.5,88.02,88.95,17653000
25/06/2013,85.48,89.11,89.62,88.48,89.58,15790100
26/06/2013,86.14,89.8,89.97,88.73,89.42,14446000
27/06/2013,86.37,90.04,90.67,90.03,90.24,12348000
28/06/2013,86.67,90.35,90.75,89.56,89.85,22984200
01/07/2013,86.62,90.3,91.13,89.96,90.39,13182200
02/07/2013,86.94,90.64,91.1,90.12,90.37,12320700
03/07/2013,86.99,90.69,90.87,90.14,90.63,5674000
05/07/2013,87.84,91.57,91.61,90.57,91.1,8917900
08/07/2013,88.49,92.25,92.53,91.9,91.96,12086700
09/07/2013,89.53,93.34,93.44,92.25,92.64,12940000
10/07/2013,89.04,92.82,93.39,92.38,93.28,12430000
11/07/2013,89.47,93.27,93.81,93.04,93.8,16184700
12/07/2013,89.59,93.4,93.45,92.72,93.25,11370300
15/07/2013,89.45,93.25,93.5,93.09,93.19,8256200
16/07/2013,89.5,93.3,93.47,92.77,93.19,11413500
17/07/2013,89.65,93.46,93.74,93.14,93.56,9393300
18/07/2013,90.53,94.38,94.84,93.71,93.8,10555400
19/07/2013,91.29,95.17,95.25,94.41,94.69,14431700
22/07/2013,90.96,94.83,95.2,94.78,94.87,9530400
23/07/2013,91.32,95.2,95.49,94.84,94.86,7377400
24/07/2013,91.12,94.99,95.31,94.42,95.31,8222800
