Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 26.73, 27.18, 27.24, 26.76, 26.79, 33736800 
2014-06-05, 26.33, 26.77, 26.78, 26.45, 26.54, 25041400 
2014-06-04, 26.11, 26.55, 26.74, 26.54, 26.74, 19969800 
2014-06-03, 26.35, 26.79, 26.81, 26.67, 26.75, 18641400 
2014-06-02, 26.39, 26.83, 26.85, 26.61, 26.71, 17123500 
2014-06-09, 26.99, 27.44, 27.53, 27.01, 27.06, 28282300 
2012-12-19, 19.66, 21.01, 21.66, 20.97, 21.64, 92330700 
2012-12-18, 20.30, 21.69, 21.91, 21.41, 21.85, 81119200 
2013-06-14, 22.40, 23.52, 23.75, 23.46, 23.68, 27846000 
2012-12-13, 20.23, 21.62, 21.92, 21.55, 21.74, 33966000 
2012-12-12, 20.38, 21.78, 21.95, 21.57, 21.61, 42413600 
2012-12-11, 20.13, 21.51, 21.75, 21.36, 21.48, 45757200 
2012-12-10, 20.02, 21.39, 21.50, 21.36, 21.43, 27604300 
2012-12-17, 20.52, 21.93, 21.95, 21.69, 21.69, 48483700 
2012-12-14, 20.23, 21.62, 21.76, 21.55, 21.61, 47536600 
2012-05-16, 17.45, 19.00, 19.26, 18.71, 18.89, 85013500 
2012-05-15, 16.90, 18.40, 18.67, 18.32, 18.55, 47564600 
2013-06-28, 22.26, 23.19, 23.44, 23.16, 23.32, 45923200 
2013-06-26, 22.31, 23.25, 23.44, 23.02, 23.43, 32531700 
2013-06-27, 22.38, 23.32, 23.48, 23.26, 23.41, 30867900 
2013-06-24, 22.01, 22.93, 23.15, 22.76, 23.12, 48760800 
2013-06-25, 22.18, 23.11, 23.25, 22.94, 23.17, 36569100 
2013-06-20, 22.31, 23.25, 23.69, 23.20, 23.63, 62733200 
2013-06-21, 22.42, 23.36, 23.64, 23.21, 23.58, 65025200 
2012-02-01, 17.09, 18.77, 19.06, 18.75, 18.94, 52016900 
2012-02-03, 17.31, 19.02, 19.10, 18.92, 19.00, 44877800 
2012-02-02, 17.07, 18.75, 18.93, 18.70, 18.85, 37813000 
2012-02-07, 17.46, 19.18, 19.20, 18.91, 19.02, 36040900 
2012-02-06, 17.34, 19.05, 19.15, 18.95, 18.99, 42735600 
2012-02-09, 17.41, 19.13, 19.35, 19.11, 19.31, 44183500 
2012-02-08, 17.51, 19.24, 19.31, 19.08, 19.19, 33680800 
2013-03-28, 22.01, 23.12, 23.20, 22.99, 23.14, 31151000 
2013-03-25, 22.13, 23.24, 23.48, 23.05, 23.45, 41684400 
2013-03-27, 22.00, 23.10, 23.14, 22.85, 23.02, 27492500 
2013-03-26, 22.01, 23.12, 23.30, 23.01, 23.27, 32353500 
2013-03-21, 22.18, 23.29, 23.60, 23.29, 23.42, 38543900 
2013-03-20, 22.34, 23.46, 23.80, 23.33, 23.73, 39254000 
2013-03-22, 22.25, 23.37, 23.40, 23.28, 23.32, 30606100 
2012-01-23, 17.24, 18.94, 19.24, 18.90, 19.09, 50584600 
2012-01-20, 17.43, 19.15, 19.20, 18.68, 18.81, 92432300 
2012-01-26, 17.36, 19.07, 19.27, 18.98, 19.26, 42493500 
2012-01-27, 17.32, 19.03, 19.13, 18.92, 19.00, 32611800 
2012-01-24, 17.15, 18.84, 18.86, 18.75, 18.84, 39736700 
2012-01-25, 17.41, 19.13, 19.16, 18.79, 18.83, 51250200 
2013-04-11, 22.46, 23.59, 23.72, 23.43, 23.55, 27084400 
2013-04-10, 22.45, 23.58, 23.65, 23.06, 23.10, 39772300 
2013-09-03, 22.13, 23.06, 23.45, 22.92, 23.31, 52049800 
2013-04-12, 22.34, 23.46, 23.59, 23.33, 23.49, 27234300 
2013-09-05, 22.23, 23.16, 23.35, 23.09, 23.34, 30302300 
2013-09-04, 22.24, 23.17, 23.18, 22.96, 22.99, 31629800 
2013-04-17, 21.67, 22.76, 23.03, 22.65, 22.96, 42672900 
2013-09-06, 22.23, 23.16, 23.38, 22.96, 23.15, 36731500 
2013-09-09, 22.45, 23.39, 23.46, 23.18, 23.25, 28181800 
2013-04-18, 21.59, 22.67, 22.85, 22.57, 22.76, 41170900 
2013-12-18, 26.51, 27.41, 27.47, 26.84, 27.03, 55268800 
2013-12-19, 26.64, 27.32, 27.40, 26.83, 27.17, 50735900 
2013-12-16, 26.09, 26.98, 27.09, 26.87, 26.94, 40160000 
2013-12-17, 26.14, 27.03, 27.14, 26.94, 27.10, 36632600 
2013-12-12, 25.67, 26.54, 26.70, 26.48, 26.50, 30960200 
2013-12-13, 25.96, 26.84, 26.94, 26.51, 26.59, 39833700 
2013-12-10, 26.25, 27.14, 27.39, 27.07, 27.09, 30864700 
2013-12-11, 25.71, 26.58, 27.13, 26.54, 27.11, 40161400 
2012-10-08, 21.45, 22.92, 22.99, 22.85, 22.87, 24202200 
2012-10-09, 21.17, 22.62, 22.97, 22.60, 22.94, 39176000 
2013-08-19, 22.89, 23.85, 23.96, 23.76, 23.90, 32219000 
2012-10-02, 21.33, 22.79, 22.99, 22.71, 22.93, 45297400 
2013-08-14, 23.10, 24.07, 24.29, 24.05, 24.20, 27983800 
2013-08-16, 22.99, 23.95, 24.05, 23.86, 23.88, 36315500 
2012-10-04, 21.48, 22.95, 23.05, 22.77, 22.95, 40344600 
2013-08-12, 23.29, 24.27, 24.30, 24.06, 24.14, 27365900 
2013-01-30, 20.99, 22.23, 22.55, 22.23, 22.52, 36200400 
2013-01-31, 21.04, 22.28, 22.40, 22.18, 22.21, 34427700 
2012-03-19, 18.56, 20.21, 20.36, 20.06, 20.08, 42727200 
2012-03-15, 18.51, 20.16, 20.20, 19.86, 19.87, 76328200 
2012-03-14, 18.17, 19.79, 19.89, 19.58, 19.63, 71352600 
2012-03-16, 18.55, 20.20, 20.30, 20.01, 20.26, 79237400 
2012-03-13, 17.99, 19.59, 19.66, 19.09, 19.20, 63925200 
2012-03-12, 17.57, 19.13, 19.19, 19.04, 19.09, 35349400 
2013-11-19, 26.14, 27.03, 27.33, 26.92, 27.13, 35722000 
2013-11-18, 26.33, 27.22, 27.50, 27.11, 27.28, 39084100 
2013-11-13, 26.26, 27.15, 27.15, 26.75, 26.97, 34393600 
2013-11-12, 26.16, 27.05, 27.14, 26.81, 26.92, 37560200 
2013-11-11, 26.12, 27.01, 27.04, 26.89, 27.02, 23888300 
