Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 165.68, 166.19, 166.26, 162.90, 162.90, 3478100 
2014-06-05, 162.08, 162.58, 163.43, 161.56, 162.72, 1859600 
2014-06-04, 161.89, 162.39, 162.73, 160.86, 161.44, 2098400 
2014-06-03, 161.30, 161.80, 161.93, 159.28, 159.85, 2408600 
2014-06-02, 159.54, 160.03, 160.20, 157.91, 159.78, 2125400 
2014-06-09, 165.49, 166.00, 166.86, 165.64, 166.04, 2377500 
2012-12-19, 124.36, 127.25, 129.30, 126.81, 128.67, 5525400 
2012-12-18, 124.87, 127.77, 128.00, 124.49, 124.82, 8040300 
2013-06-14, 160.27, 162.92, 166.11, 162.91, 165.74, 2970600 
2012-12-13, 115.81, 118.50, 119.16, 117.59, 117.81, 3329100 
2012-12-12, 115.41, 118.09, 119.98, 118.08, 119.29, 5372400 
2012-12-11, 116.16, 118.86, 119.80, 117.04, 117.56, 5696500 
2012-12-10, 114.35, 117.01, 117.17, 115.62, 116.61, 3331900 
2012-12-17, 120.69, 123.49, 123.49, 120.03, 120.19, 5476700 
2012-12-14, 116.65, 119.36, 120.07, 118.30, 118.45, 3717200 
2012-05-16, 94.69, 98.20, 102.14, 98.20, 100.55, 5797200 
2012-05-15, 96.30, 99.87, 101.77, 99.78, 100.14, 5656700 
2013-06-28, 148.79, 151.25, 152.77, 151.00, 152.69, 3011300 
2013-06-26, 149.19, 151.66, 154.56, 150.75, 154.48, 3580400 
2013-06-27, 151.01, 153.51, 154.99, 152.61, 153.03, 2654900 
2013-06-24, 148.32, 150.78, 152.60, 148.71, 151.99, 4013200 
2013-06-25, 150.57, 153.06, 154.31, 151.55, 152.45, 3274600 
2013-06-20, 152.88, 155.41, 159.99, 154.84, 159.15, 6488600 
2013-06-21, 151.74, 154.25, 157.26, 152.30, 157.00, 5390200 
2012-02-01, 109.07, 113.45, 116.65, 111.61, 112.61, 11333000 
2012-02-03, 112.99, 117.53, 117.57, 115.40, 115.61, 7454500 
2012-02-02, 109.01, 113.39, 115.41, 112.71, 114.34, 6624200 
2012-02-07, 111.50, 115.98, 116.98, 115.31, 116.77, 5727300 
2012-02-06, 112.86, 117.39, 117.60, 116.33, 116.39, 3421900 
2012-02-09, 111.41, 115.88, 117.39, 115.05, 117.19, 4769800 
2012-02-08, 111.67, 116.15, 117.04, 114.54, 116.61, 4958200 
2013-03-28, 144.30, 147.15, 149.06, 147.13, 148.12, 3701300 
2013-03-25, 143.28, 146.11, 148.66, 144.68, 147.99, 3775400 
2013-03-27, 144.97, 147.84, 148.63, 145.86, 145.88, 3964800 
2013-03-26, 143.70, 146.54, 148.34, 144.87, 148.29, 3860400 
2013-03-21, 142.56, 145.38, 150.22, 145.37, 149.29, 4704000 
2013-03-20, 147.22, 150.13, 151.48, 149.25, 150.02, 2883800 
2013-03-22, 143.76, 146.60, 147.70, 145.61, 146.51, 3456800 
2012-01-23, 104.01, 108.19, 110.90, 107.52, 108.49, 7091800 
2012-01-20, 104.54, 108.74, 109.43, 106.60, 107.32, 8439700 
2012-01-26, 104.37, 108.56, 110.30, 108.03, 108.61, 6909600 
2012-01-27, 107.46, 111.77, 112.20, 107.62, 107.77, 8403600 
2012-01-24, 104.67, 108.87, 109.10, 106.25, 106.79, 4543900 
2012-01-25, 104.09, 108.27, 108.95, 105.93, 106.23, 7927600 
2013-04-11, 146.18, 149.07, 150.59, 148.22, 149.46, 2951800 
2013-04-10, 146.56, 149.46, 149.74, 147.24, 147.30, 3127600 
2013-09-03, 152.74, 154.76, 156.04, 153.52, 154.48, 2464800 
2013-04-12, 146.23, 149.12, 149.60, 147.01, 148.40, 3131400 
2013-09-05, 154.13, 156.17, 158.05, 155.57, 155.99, 2443900 
2013-09-04, 153.71, 155.74, 157.25, 154.35, 154.76, 2194200 
