Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 185.27, 186.37, 187.65, 185.90, 186.47, 3296700 
2014-06-05, 184.89, 185.98, 186.09, 183.92, 184.66, 2852200 
2014-06-04, 183.43, 184.51, 185.45, 184.20, 184.71, 2376800 
2014-06-03, 183.29, 184.37, 185.76, 184.12, 185.55, 2517100 
2014-06-02, 184.60, 185.69, 186.28, 184.67, 184.76, 3200500 
2014-06-09, 185.13, 186.22, 187.64, 185.96, 186.22, 2728400 
2012-12-19, 188.11, 195.08, 196.45, 195.00, 195.46, 4270500 
2012-12-18, 188.70, 195.69, 195.92, 193.84, 193.85, 4125900 
2013-06-14, 196.71, 202.20, 204.74, 201.81, 203.97, 2804500 
2012-12-13, 185.13, 191.99, 193.05, 191.37, 192.18, 3623200 
2012-12-12, 186.06, 192.95, 194.75, 192.46, 194.60, 4241900 
2012-12-11, 187.26, 194.20, 194.80, 193.15, 193.18, 4144000 
2012-12-10, 185.74, 192.62, 193.54, 191.65, 192.17, 3438500 
2012-12-17, 186.70, 193.62, 193.91, 191.76, 191.76, 3792400 
2012-12-14, 184.91, 191.76, 193.40, 191.26, 191.69, 3826900 
2012-05-16, 190.94, 199.73, 201.35, 198.18, 199.42, 5001000 
2012-05-15, 190.28, 199.04, 201.47, 198.76, 199.44, 2987400 
2013-06-28, 185.92, 191.11, 192.66, 188.41, 191.73, 10055800 
2013-06-26, 189.57, 194.86, 196.23, 194.50, 195.97, 3320200 
2013-06-27, 190.34, 195.65, 196.90, 195.29, 196.05, 3514200 
2013-06-24, 188.29, 193.54, 194.91, 191.34, 193.99, 4356200 
2013-06-25, 189.69, 194.98, 195.59, 193.15, 195.31, 3846200 
2013-06-20, 191.99, 197.35, 201.70, 197.28, 200.67, 4514800 
2013-06-21, 190.16, 195.46, 198.52, 193.54, 198.50, 8914800 
2012-02-01, 182.66, 192.62, 194.81, 192.41, 193.21, 5088800 
2012-02-03, 183.63, 193.64, 194.13, 192.54, 192.93, 4521700 
2012-02-02, 181.63, 191.53, 193.33, 191.33, 192.72, 3907300 
2012-02-07, 183.35, 193.35, 194.14, 191.97, 192.45, 3433000 
