Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 41.22, 41.48, 41.66, 41.24, 41.48, 24060500 
2014-06-05, 40.95, 41.21, 41.25, 40.40, 40.59, 31865200 
2014-06-04, 40.07, 40.32, 40.37, 39.86, 40.21, 23209000 
2014-06-03, 40.04, 40.29, 40.68, 40.25, 40.60, 18068900 
2014-06-02, 40.54, 40.79, 41.09, 40.68, 40.95, 18504300 
2014-06-09, 41.01, 41.27, 41.48, 41.02, 41.39, 15019200 
2012-12-19, 25.96, 27.31, 27.73, 27.25, 27.69, 53519900 
2012-12-18, 26.20, 27.56, 27.63, 27.14, 27.25, 50486900 
2013-06-14, 33.21, 34.40, 34.69, 34.25, 34.55, 53192600 
2012-12-13, 25.77, 27.11, 27.52, 26.95, 27.32, 45080100 
2012-12-12, 25.90, 27.24, 27.62, 27.08, 27.53, 43966300 
2012-12-11, 25.97, 27.32, 27.49, 27.05, 27.05, 52282800 
2012-12-10, 25.61, 26.94, 26.97, 26.52, 26.56, 47031100 
2012-12-17, 25.76, 27.10, 27.22, 26.68, 26.79, 42046100 
2012-12-14, 25.49, 26.81, 27.13, 26.70, 27.11, 42077500 
2012-05-16, 28.01, 29.90, 30.32, 29.74, 30.31, 60083700 
2012-05-15, 28.30, 30.21, 30.80, 30.15, 30.64, 61822800 
2013-06-28, 33.34, 34.54, 34.79, 34.34, 34.38, 65545500 
2013-06-26, 33.16, 34.35, 34.48, 33.89, 34.12, 48665900 
2013-06-27, 33.42, 34.62, 34.78, 34.50, 34.52, 28993100 
2013-06-24, 32.55, 33.72, 34.20, 32.57, 32.94, 56109000 
2013-06-25, 32.50, 33.67, 34.38, 33.46, 34.08, 44073400 
2013-06-20, 32.33, 33.49, 34.33, 33.37, 34.26, 54493700 
2013-06-21, 32.12, 33.27, 33.73, 33.05, 33.66, 85338500 
2012-02-01, 27.64, 29.89, 30.05, 29.76, 29.79, 67409900 
2012-02-03, 27.96, 30.24, 30.40, 30.09, 30.14, 41838500 
2012-02-02, 27.69, 29.95, 30.17, 29.71, 29.90, 52223300 
2012-02-07, 28.06, 30.35, 30.49, 30.05, 30.15, 39242400 
2012-02-06, 27.92, 30.20, 30.22, 29.97, 30.04, 28039700 
2012-02-09, 28.45, 30.77, 30.80, 30.48, 30.68, 50481600 
2012-02-08, 28.35, 30.66, 30.67, 30.22, 30.26, 49659100 
2013-03-28, 27.43, 28.61, 28.66, 28.26, 28.32, 55453800 
2013-03-25, 26.99, 28.16, 28.35, 27.96, 28.30, 44154000 
2013-03-27, 27.20, 28.37, 28.45, 28.08, 28.14, 36047400 
2013-03-26, 26.99, 28.16, 28.34, 28.11, 28.24, 27824300 
2013-03-21, 26.95, 28.11, 28.36, 28.05, 28.11, 34233200 
2013-03-20, 27.15, 28.32, 28.49, 28.18, 28.34, 35447800 
2013-03-22, 27.08, 28.25, 28.34, 28.10, 28.19, 28720900 
2012-01-23, 27.49, 29.73, 29.95, 29.35, 29.55, 76078100 
2012-01-20, 27.47, 29.71, 29.74, 28.75, 28.82, 165902900 
2012-01-26, 27.27, 29.50, 29.70, 29.40, 29.61, 49102800 
2012-01-27, 27.03, 29.23, 29.53, 29.17, 29.45, 44187700 
2012-01-24, 27.13, 29.34, 29.57, 29.18, 29.47, 51703300 
2012-01-25, 27.33, 29.56, 29.65, 29.07, 29.07, 59231700 
2013-04-11, 27.74, 28.94, 29.20, 28.73, 29.10, 130923200 
2013-04-10, 29.03, 30.28, 30.32, 29.52, 29.57, 71116700 
2013-09-03, 30.99, 31.88, 32.07, 31.29, 31.75, 154507000 
2013-04-12, 27.60, 28.79, 29.02, 28.66, 28.85, 62886300 
2013-09-05, 30.36, 31.23, 31.44, 30.95, 31.10, 71644900 
2013-09-04, 30.33, 31.20, 31.47, 31.11, 31.39, 142320600 
2013-04-17, 27.64, 28.83, 29.04, 28.60, 28.85, 52840700 
2013-09-06, 30.28, 31.15, 31.39, 31.13, 31.31, 75434900 
2013-09-09, 30.78, 31.66, 31.79, 31.20, 31.22, 49628500 
2013-04-18, 27.60, 28.79, 28.98, 28.50, 28.95, 56906600 
2013-12-18, 35.83, 36.58, 36.60, 35.53, 36.36, 63192100 
2013-12-19, 35.51, 36.25, 36.55, 36.08, 36.51, 34160100 
2013-12-16, 36.13, 36.89, 37.00, 36.54, 36.73, 31734200 
2013-12-17, 35.77, 36.52, 37.11, 36.33, 36.94, 45687700 
2013-12-12, 36.46, 37.22, 37.64, 37.18, 37.64, 36012800 
2013-12-13, 35.94, 36.69, 37.45, 36.62, 37.42, 40066100 
2013-12-10, 37.33, 38.11, 38.90, 38.02, 38.61, 37828600 
2013-12-11, 36.84, 37.61, 38.30, 37.39, 38.06, 39853400 
2012-10-08, 28.08, 29.78, 29.92, 29.55, 29.64, 29752000 
2012-10-09, 27.61, 29.28, 29.74, 29.18, 29.68, 45121100 
2013-08-19, 30.51, 31.39, 31.97, 31.38, 31.76, 27902500 
2012-10-02, 27.97, 29.66, 29.89, 29.50, 29.68, 43338900 
2013-08-14, 31.45, 32.35, 33.36, 31.70, 32.14, 48519600 
2013-08-16, 30.91, 31.80, 31.99, 31.66, 31.79, 32866300 
2012-10-04, 28.32, 30.03, 30.03, 29.57, 29.97, 43634900 
2013-08-12, 31.73, 32.87, 32.97, 32.46, 32.46, 25493700 
2013-01-30, 26.48, 27.85, 28.19, 27.76, 28.01, 43580500 
2013-01-31, 26.10, 27.45, 27.97, 27.40, 27.79, 50530000 
2012-03-19, 29.97, 32.20, 32.61, 32.15, 32.54, 44789200 
2012-03-15, 30.57, 32.85, 32.94, 32.58, 32.79, 49068300 
2012-03-14, 30.50, 32.77, 32.88, 32.49, 32.53, 41986900 
2012-03-16, 30.34, 32.60, 32.95, 32.50, 32.91, 65626400 
2012-03-13, 30.40, 32.67, 32.69, 32.15, 32.24, 48951700 
2012-03-12, 29.82, 32.04, 32.20, 31.82, 31.97, 34073600 
2013-11-19, 35.99, 36.74, 37.23, 36.67, 36.85, 44275000 
2013-11-18, 36.16, 37.20, 37.58, 37.07, 37.35, 53277500 
2013-11-13, 37.10, 38.16, 38.16, 36.90, 36.98, 44957600 
2013-11-12, 36.32, 37.36, 37.60, 37.20, 37.38, 31651600 
2013-11-11, 36.54, 37.59, 37.78, 37.35, 37.69, 26872500 
2013-11-15, 36.78, 37.84, 38.02, 37.72, 37.95, 50601300 
2013-11-14, 36.96, 38.02, 38.13, 37.72, 37.87, 46183700 
