Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 29.16, 29.42, 29.87, 29.34, 29.81, 26817100 
2014-06-05, 29.50, 29.76, 29.79, 29.48, 29.69, 19357600 
2014-06-04, 29.38, 29.64, 29.74, 29.52, 29.61, 23406800 
2014-06-03, 29.33, 29.59, 29.82, 29.55, 29.77, 24199900 
2014-06-02, 29.45, 29.71, 29.80, 29.59, 29.59, 19999100 
2014-06-09, 29.09, 29.35, 29.43, 29.20, 29.38, 24414500 
2012-12-19, 23.90, 25.35, 25.79, 25.32, 25.63, 29285300 
2012-12-18, 24.18, 25.64, 25.70, 25.27, 25.35, 33083400 
2013-06-14, 27.90, 29.09, 29.36, 28.94, 29.02, 81829200 
2012-12-13, 23.88, 25.33, 25.65, 25.33, 25.43, 26458100 
2012-12-12, 24.05, 25.51, 25.75, 25.44, 25.62, 29837500 
2012-12-11, 24.18, 25.64, 25.78, 25.52, 25.53, 30687800 
2012-12-10, 23.96, 25.41, 25.60, 25.36, 25.42, 26888800 
2012-12-17, 23.91, 25.36, 25.47, 25.15, 25.17, 28599700 
2012-12-14, 23.74, 25.18, 25.37, 25.15, 25.22, 25918800 
2012-05-16, 20.96, 22.64, 22.68, 22.30, 22.32, 39472700 
2012-05-15, 20.65, 22.30, 22.60, 22.25, 22.56, 37869500 
2013-06-28, 26.86, 28.01, 28.72, 28.01, 28.54, 123030300 
2013-06-26, 26.95, 28.10, 28.36, 27.85, 28.08, 85885500 
2013-06-27, 27.03, 28.18, 28.66, 28.11, 28.39, 154427500 
2013-06-24, 26.58, 27.71, 28.38, 27.52, 28.16, 221668100 
2013-06-25, 26.84, 27.99, 28.15, 27.58, 28.08, 118323400 
2013-06-20, 27.47, 28.64, 29.23, 28.45, 29.02, 95693800 
2013-06-21, 27.30, 28.46, 29.11, 28.46, 28.86, 222098200 
2012-02-01, 19.54, 21.31, 21.53, 21.20, 21.25, 44693400 
2012-02-03, 19.44, 21.20, 21.25, 21.05, 21.19, 41150200 
2012-02-02, 19.35, 21.11, 21.31, 20.80, 21.23, 57510500 
2012-02-07, 19.30, 21.05, 21.10, 20.80, 20.87, 37375900 
2012-02-06, 19.21, 20.95, 21.18, 20.87, 21.13, 32095100 
2012-02-09, 19.38, 21.14, 21.25, 21.00, 21.05, 28940500 
2012-02-08, 19.26, 21.01, 21.08, 20.85, 21.00, 34242100 
2013-03-28, 27.45, 28.86, 28.90, 28.62, 28.66, 27941100 
