Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 79.40, 80.03, 80.24, 79.82, 80.09, 5520500 
2014-06-05, 79.48, 80.11, 80.31, 79.97, 80.11, 5787700 
2014-06-04, 79.23, 79.86, 80.22, 79.64, 80.00, 5427700 
2014-06-03, 79.30, 79.93, 80.30, 79.60, 80.04, 6970600 
2014-06-02, 79.72, 80.36, 80.67, 80.29, 80.66, 4331700 
2014-06-09, 79.46, 80.09, 80.24, 79.85, 79.91, 6352500 
2012-12-19, 65.69, 69.34, 69.99, 68.77, 69.76, 10304800 
2012-12-18, 66.29, 69.97, 70.28, 69.43, 69.89, 13568900 
2013-06-14, 75.07, 78.03, 78.79, 77.67, 78.49, 6825900 
2012-12-13, 66.44, 70.13, 70.64, 69.90, 70.55, 8478200 
2012-12-12, 67.03, 70.76, 70.99, 70.61, 70.76, 8405900 
2012-12-11, 66.94, 70.66, 70.97, 70.14, 70.29, 9298000 
2012-12-10, 66.52, 70.22, 70.42, 70.03, 70.12, 8124100 
2012-12-17, 66.25, 69.93, 70.15, 69.62, 69.95, 8791500 
2012-12-14, 66.25, 69.93, 70.47, 69.78, 69.92, 8997600 
2012-05-16, 59.89, 64.29, 64.81, 64.00, 64.34, 12375000 
2012-05-15, 59.36, 63.72, 64.22, 63.50, 63.72, 12824700 
2013-06-28, 74.07, 76.99, 77.94, 76.90, 77.62, 9865300 
2013-06-26, 74.46, 77.40, 77.59, 77.02, 77.23, 7326500 
2013-06-27, 74.72, 77.67, 78.38, 77.57, 77.96, 14731500 
2013-06-24, 73.67, 76.58, 77.43, 75.63, 76.95, 12563300 
2013-06-25, 73.78, 76.69, 77.24, 76.29, 77.10, 7909400 
2013-06-20, 72.39, 75.25, 77.33, 75.10, 77.21, 15555700 
2013-06-21, 74.49, 77.43, 77.53, 75.69, 76.25, 20055700 
2012-02-01, 58.39, 63.21, 63.70, 63.19, 63.42, 12900500 
2012-02-03, 57.98, 62.77, 63.86, 62.56, 63.36, 17440500 
2012-02-02, 58.49, 63.32, 63.63, 63.25, 63.35, 12613100 
2012-02-07, 58.84, 63.70, 63.91, 63.37, 63.56, 8901600 
2012-02-06, 58.67, 63.51, 63.61, 62.78, 62.86, 9851200 
2012-02-09, 59.16, 64.04, 64.10, 63.53, 63.84, 9152000 
2012-02-08, 58.79, 63.64, 63.78, 63.44, 63.72, 8174800 
2013-03-28, 73.59, 77.06, 77.16, 76.66, 76.95, 8016700 
2013-03-25, 73.23, 76.68, 77.62, 76.44, 77.27, 6843600 
2013-03-27, 73.59, 77.06, 77.11, 76.57, 76.98, 5274600 
2013-03-26, 73.92, 77.40, 77.50, 76.89, 77.02, 5386000 
2013-03-21, 73.74, 77.21, 77.67, 77.14, 77.42, 6319500 
2013-03-20, 74.09, 77.58, 77.82, 77.27, 77.29, 8615800 
2013-03-22, 73.79, 77.27, 77.45, 77.00, 77.18, 5868400 
2012-01-23, 60.04, 65.00, 65.94, 64.78, 65.91, 14828100 
2012-01-20, 61.18, 66.23, 66.25, 65.45, 65.63, 12190100 
2012-01-26, 59.86, 64.80, 65.38, 64.73, 65.10, 11932100 
2012-01-27, 59.40, 64.30, 64.97, 63.66, 64.31, 10979900 
2012-01-24, 59.58, 64.50, 64.75, 64.04, 64.64, 9742400 
2012-01-25, 60.02, 64.98, 65.15, 64.18, 64.38, 10913100 
2013-04-11, 76.09, 79.67, 80.13, 79.33, 79.37, 11831600 
2013-04-10, 75.68, 79.24, 79.49, 78.43, 78.49, 7947600 
2013-09-03, 75.36, 77.75, 78.42, 77.44, 78.27, 6743800 
2013-04-12, 76.48, 80.08, 80.66, 79.47, 79.51, 9383400 
2013-09-05, 74.77, 77.14, 77.63, 76.83, 77.58, 7163200 
2013-09-04, 75.11, 77.49, 77.75, 77.12, 77.52, 6031300 
2013-04-17, 75.50, 79.06, 80.14, 78.85, 79.98, 10964600 
2013-09-06, 74.78, 77.15, 77.61, 76.40, 77.12, 6977400 
2013-09-09, 75.76, 78.16, 78.20, 77.37, 77.37, 6089300 
2013-04-18, 76.28, 79.87, 80.18, 79.06, 79.09, 10896200 
2013-12-18, 80.47, 82.38, 82.42, 80.48, 81.21, 12036100 
2013-12-19, 80.00, 81.90, 82.29, 81.51, 81.98, 6442600 
2013-12-16, 79.80, 81.69, 83.07, 81.60, 82.72, 8849700 
2013-12-17, 79.03, 80.91, 81.85, 80.69, 81.79, 11416400 
2013-12-12, 80.39, 82.30, 83.87, 81.93, 83.82, 10176300 
2013-12-13, 80.46, 82.37, 82.46, 81.56, 82.32, 7441600 
2013-12-10, 81.71, 83.65, 84.43, 83.43, 84.41, 7373300 
2013-12-11, 82.07, 84.02, 84.50, 83.61, 83.74, 9787900 
2012-10-08, 64.93, 69.10, 69.48, 68.89, 69.48, 6577000 
2012-10-09, 64.55, 68.70, 69.28, 68.52, 68.92, 8200100 
2013-08-19, 77.14, 79.59, 80.09, 79.42, 79.64, 5959400 
2012-10-02, 64.64, 68.79, 69.72, 68.52, 69.53, 11241400 
2013-08-14, 78.75, 81.25, 81.78, 81.19, 81.67, 5167500 
2013-08-16, 77.44, 79.90, 80.48, 79.06, 80.27, 9451600 
2012-10-04, 65.19, 69.38, 69.78, 69.31, 69.36, 7792700 
2013-08-12, 79.11, 81.62, 81.73, 81.04, 81.23, 4922200 
2013-01-30, 71.70, 75.08, 75.48, 74.67, 74.75, 12677800 
2013-01-31, 71.78, 75.16, 75.26, 74.67, 74.83, 11661500 
2012-03-19, 62.08, 67.21, 67.48, 66.96, 67.03, 7038900 
2012-03-15, 62.52, 67.68, 67.79, 67.50, 67.69, 8611500 
2012-03-14, 62.68, 67.85, 67.95, 67.69, 67.73, 8056200 
2012-03-16, 62.12, 67.25, 67.85, 67.13, 67.83, 15713500 
2012-03-13, 62.72, 67.90, 67.90, 67.57, 67.85, 9056700 
2012-03-12, 62.55, 67.71, 67.78, 66.73, 66.77, 8825500 
2013-11-19, 82.39, 84.34, 84.59, 84.21, 84.31, 7924200 
2013-11-18, 82.61, 84.57, 84.94, 84.18, 84.79, 8507300 
2013-11-13, 81.56, 83.50, 83.50, 82.46, 82.57, 7581600 
2013-11-12, 80.88, 82.80, 83.04, 82.12, 82.23, 8201700 
2013-11-11, 80.35, 82.26, 82.68, 82.02, 82.35, 6173600 
2013-11-15, 82.87, 84.84, 84.92, 84.16, 84.17, 9664700 
2013-11-14, 82.37, 84.32, 84.46, 83.43, 83.43, 7580500 
2013-08-26, 76.12, 78.54, 79.98, 78.53, 79.92, 6385400 
2012-01-10, 60.79, 66.33, 66.87, 66.07, 66.85, 10318900 
2012-08-27, 63.06, 67.11, 67.37, 66.86, 66.93, 6419600 
2014-01-24, 77.93, 79.18, 81.70, 78.78, 79.33, 20163200 
2014-01-27, 77.23, 78.47, 79.30, 78.42, 79.24, 10395400 
2014-01-21, 78.32, 80.18, 80.72, 79.54, 80.59, 13216400 
2014-01-22, 77.98, 79.23, 79.88, 79.05, 79.57, 8455600 
2014-01-23, 77.00, 78.24, 78.97, 78.12, 78.71, 12667700 
2014-01-28, 77.86, 79.11, 79.52, 78.43, 78.67, 10060800 
2014-01-29, 76.41, 77.64, 78.80, 77.38, 78.80, 13443100 
2012-07-20, 60.82, 64.73, 64.92, 64.40, 64.52, 10121500 
2013-10-10, 75.49, 77.89, 77.92, 77.15, 77.41, 10121900 
2012-07-23, 60.50, 64.39, 64.72, 64.23, 64.40, 10711100 
2012-07-24, 60.15, 64.02, 64.57, 63.72, 64.48, 8271700 
2012-07-25, 60.15, 64.02, 64.31, 63.89, 64.12, 9424700 
2012-07-26, 60.66, 64.56, 65.10, 64.44, 64.59, 10472200 
2013-10-11, 76.07, 78.48, 78.49, 77.81, 78.00, 6082200 
2014-04-23, 79.72, 80.36, 80.72, 79.38, 80.72, 9577500 
2014-04-22, 79.97, 81.25, 81.67, 81.15, 81.54, 9259100 
2014-04-21, 80.27, 81.56, 81.81, 81.29, 81.81, 6391000 
2013-05-15, 77.62, 80.68, 81.00, 79.47, 79.47, 11154400 
2013-05-13, 75.61, 78.59, 78.97, 78.42, 78.51, 5420200 
2014-04-25, 80.76, 81.41, 81.58, 80.97, 81.20, 7497400 
2014-04-24, 80.51, 81.15, 81.38, 80.01, 80.26, 9523200 
2014-04-29, 81.79, 82.44, 82.95, 82.36, 82.75, 7214300 
2014-04-28, 82.28, 82.94, 82.98, 81.51, 81.54, 11595100 
2013-01-09, 65.25, 68.88, 69.11, 68.61, 68.77, 5762900 
2013-01-08, 64.90, 68.51, 68.73, 68.40, 68.52, 7362000 
2013-01-03, 65.32, 68.95, 69.50, 68.94, 69.44, 7741900 
2013-01-02, 65.74, 69.39, 69.39, 68.35, 68.65, 9987000 
2013-01-04, 65.45, 69.09, 69.17, 68.68, 69.01, 5853700 
2013-01-07, 65.01, 68.62, 68.92, 68.38, 68.92, 5269800 
2013-07-10, 76.77, 79.80, 80.10, 79.30, 79.65, 6862800 
2012-08-02, 59.68, 63.51, 63.98, 63.24, 63.66, 9462400 
2013-10-30, 79.63, 81.52, 82.56, 81.23, 82.53, 6490000 
2013-10-31, 78.88, 80.75, 81.60, 80.72, 81.20, 7786800 
2012-08-07, 62.22, 66.22, 66.45, 65.91, 65.92, 10463300 
2012-08-06, 61.84, 65.81, 66.24, 65.20, 65.23, 10034400 
2013-07-16, 77.90, 80.97, 81.37, 80.91, 81.32, 11208600 
2013-07-17, 77.63, 80.09, 80.85, 80.01, 80.49, 7644300 
2013-07-18, 77.83, 80.30, 80.75, 80.03, 80.03, 5526000 
2013-07-19, 78.87, 81.37, 81.41, 80.05, 80.36, 7862600 
2012-08-09, 62.70, 66.73, 66.93, 66.40, 66.59, 9677800 
2012-08-08, 62.69, 66.72, 66.80, 65.96, 66.01, 9673200 
2014-02-03, 74.50, 75.70, 76.76, 75.60, 76.69, 14292700 
2013-04-16, 76.50, 80.10, 80.21, 79.37, 79.83, 9365600 
2014-02-07, 76.09, 77.31, 77.39, 76.75, 76.99, 7259200 
2014-02-06, 75.69, 76.90, 76.99, 76.48, 76.53, 7819700 
2014-02-05, 75.24, 76.45, 76.80, 75.67, 75.94, 9734100 
2014-02-04, 74.89, 76.09, 76.39, 75.40, 76.00, 12055400 
2012-01-06, 60.81, 66.36, 66.63, 65.93, 66.51, 8421200 
2012-01-09, 61.07, 66.64, 66.75, 66.22, 66.25, 7836100 
2014-07-24, 80.26, 80.26, 80.32, 79.85, 80.12, 6273100 
2014-07-25, 79.56, 79.56, 80.16, 79.37, 80.02, 6293400 
2014-07-22, 80.10, 80.10, 80.58, 79.77, 80.29, 6073200 
2014-07-23, 79.99, 79.99, 80.50, 79.82, 80.33, 5891200 
2014-07-21, 80.28, 80.28, 80.40, 79.95, 80.33, 4434300 
2014-07-28, 79.26, 79.26, 79.62, 78.85, 79.41, 6757300 
2014-07-29, 78.65, 78.65, 79.50, 78.65, 79.09, 6419600 
2014-05-19, 79.30, 79.93, 80.05, 79.54, 80.01, 6068100 
2012-09-17, 65.07, 69.25, 69.25, 68.86, 68.88, 11274600 
2014-03-31, 79.33, 80.60, 80.83, 79.55, 80.00, 8492800 
2014-05-13, 80.96, 81.61, 81.98, 81.42, 81.94, 6540200 
2014-05-12, 81.08, 81.73, 82.71, 81.71, 82.61, 7859000 
2014-05-15, 79.89, 80.53, 81.37, 80.44, 81.25, 9402100 
2014-05-14, 80.53, 81.17, 81.91, 81.12, 81.74, 6867200 
2014-05-16, 79.69, 80.33, 80.76, 80.00, 80.63, 11558900 
2012-11-23, 65.93, 69.59, 69.61, 68.71, 68.75, 4598200 
2013-02-15, 73.10, 76.54, 76.96, 76.21, 76.72, 11165600 
2012-11-20, 64.70, 68.30, 68.49, 67.76, 67.81, 7611600 
2012-05-31, 58.03, 62.29, 62.62, 61.98, 62.60, 9268400 
2012-05-30, 58.05, 62.32, 62.89, 62.24, 62.64, 7493400 
2013-02-11, 72.40, 75.81, 75.92, 75.12, 75.41, 6928200 
2012-11-29, 65.84, 69.50, 69.80, 69.13, 69.41, 8783800 
2012-11-28, 65.78, 69.44, 69.74, 68.90, 69.00, 11255800 
2013-02-19, 73.90, 77.38, 77.77, 76.49, 76.56, 11783500 
2012-04-05, 62.18, 67.31, 67.48, 66.83, 66.92, 7696300 
2012-04-04, 62.13, 67.26, 67.56, 66.71, 66.71, 8372200 
2012-04-03, 61.97, 67.09, 67.60, 66.94, 67.43, 6954100 
2012-06-08, 58.45, 62.75, 63.19, 62.57, 63.04, 7697800 
2012-06-05, 56.98, 61.17, 61.33, 61.02, 61.21, 7855500 
2012-06-04, 57.20, 61.40, 61.70, 61.10, 61.69, 7768200 
2012-06-07, 58.46, 62.76, 62.84, 61.72, 62.08, 13904700 
2012-09-10, 64.37, 68.51, 68.58, 68.12, 68.41, 8920600 
2012-06-01, 57.34, 61.55, 61.94, 61.20, 61.76, 12728000 
2012-04-09, 61.71, 66.81, 67.13, 66.71, 66.72, 6890400 
2014-01-14, 79.00, 80.87, 80.92, 80.02, 80.06, 8737100 
2013-08-20, 77.08, 79.53, 80.10, 79.28, 79.72, 5172500 
2013-06-07, 74.80, 77.75, 78.28, 77.27, 77.44, 7839500 
2013-02-22, 73.53, 76.99, 77.19, 76.75, 77.05, 8433200 
2013-02-20, 73.61, 77.08, 77.52, 76.92, 77.27, 9275400 
2013-02-21, 73.57, 77.04, 77.20, 75.90, 76.28, 10305200 
2013-02-26, 72.66, 76.08, 76.38, 75.77, 75.99, 8378900 
2013-02-27, 73.30, 76.75, 76.95, 75.70, 75.95, 7567800 
2013-02-25, 72.51, 75.92, 77.67, 75.92, 77.07, 9970400 
2013-02-28, 72.75, 76.18, 76.91, 76.17, 76.66, 10466900 
2012-09-18, 65.04, 69.22, 69.69, 69.11, 69.19, 12833500 
2012-04-30, 59.28, 63.64, 64.16, 63.29, 63.58, 19195000 
2012-03-29, 61.90, 67.01, 67.15, 66.76, 66.98, 6917400 
2014-01-16, 78.69, 80.56, 80.83, 80.26, 80.65, 11673300 
2014-06-30, 77.97, 78.59, 79.46, 78.43, 79.01, 10297700 
2012-12-26, 64.42, 68.00, 68.59, 67.70, 68.57, 6937000 
2012-12-27, 64.39, 67.97, 68.16, 67.41, 67.88, 7648800 
2012-12-24, 64.91, 68.52, 68.69, 68.24, 68.67, 3578800 
2012-12-20, 66.14, 69.82, 70.25, 69.30, 69.30, 10218200 
2012-12-21, 65.10, 68.72, 69.82, 68.38, 69.43, 17746900 
2012-12-28, 63.61, 67.15, 67.91, 67.06, 67.73, 6463300 
2013-10-07, 73.32, 75.65, 76.10, 75.48, 75.66, 6373300 
2014-04-14, 79.53, 80.81, 81.20, 80.51, 81.00, 7105600 
2012-11-19, 64.34, 67.92, 67.92, 66.86, 66.99, 8741400 
2012-11-16, 63.30, 66.82, 66.97, 66.14, 66.36, 11354200 
2012-11-14, 63.03, 66.53, 67.06, 66.29, 66.89, 9680100 
2012-11-15, 62.83, 66.32, 67.00, 65.83, 66.76, 9290000 
