Date, Adj Close, Close, High, Low, Open, Volume
2014-06-06, 212.59, 213.00, 213.40, 211.61, 212.53, 2500600 
2014-06-05, 211.82, 212.22, 212.50, 210.62, 212.12, 1649400 
2014-06-04, 211.03, 211.43, 211.43, 209.45, 211.16, 3147400 
2014-06-03, 210.92, 211.32, 213.23, 210.80, 213.03, 2252900 
2014-06-02, 213.11, 213.52, 215.69, 212.84, 215.37, 1591000 
2014-06-09, 212.18, 212.58, 213.99, 211.63, 213.49, 1379100 
2012-12-19, 147.18, 149.16, 150.84, 149.15, 150.80, 2160100 
2012-12-18, 148.71, 150.72, 151.55, 148.70, 149.01, 2967400 
2013-06-14, 179.23, 180.93, 182.48, 180.11, 182.05, 1856800 
2012-12-13, 145.24, 147.20, 149.10, 146.89, 148.11, 3260700 
2012-12-12, 145.91, 147.88, 149.80, 147.83, 149.69, 4579900 
2012-12-11, 146.92, 148.90, 150.33, 148.40, 148.40, 3623200 
2012-12-10, 146.68, 148.66, 149.27, 148.27, 148.75, 2322200 
2012-12-17, 147.15, 149.13, 149.13, 146.90, 146.97, 3475800 
2012-12-14, 144.87, 146.82, 147.69, 146.25, 146.88, 2394800 
2012-05-16, 115.50, 117.53, 118.20, 116.30, 116.80, 4334900 
2012-05-15, 114.38, 116.61, 117.90, 116.45, 116.45, 3147300 
2013-06-28, 181.03, 182.75, 184.72, 182.22, 184.26, 3164100 
2013-06-26, 180.93, 182.65, 183.14, 180.48, 181.89, 2598200 
2013-06-27, 182.53, 184.26, 185.00, 182.50, 183.44, 2775600 
2013-06-24, 176.59, 178.27, 179.48, 175.68, 178.11, 3881900 
2013-06-25, 178.77, 180.47, 181.38, 178.50, 179.80, 3180400 
2013-06-20, 176.78, 178.46, 182.48, 178.46, 181.53, 3883500 
2013-06-21, 177.81, 179.50, 181.50, 178.80, 180.00, 4480800 
2012-02-01, 100.36, 102.51, 102.70, 100.60, 101.18, 3844200 
2012-02-03, 104.78, 107.03, 107.82, 106.59, 106.79, 4133300 
2012-02-02, 103.83, 106.06, 107.12, 103.59, 103.78, 8435100 
2012-02-07, 104.74, 106.98, 107.55, 106.06, 107.46, 3261400 
2012-02-06, 105.11, 107.36, 108.27, 106.80, 106.94, 3337400 
2012-02-09, 110.06, 112.42, 114.90, 112.05, 113.06, 9900300 
2012-02-08, 106.08, 108.35, 108.64, 107.02, 107.77, 5685500 
2013-03-28, 167.93, 169.84, 170.96, 168.13, 168.75, 3114100 
2013-03-25, 162.16, 164.00, 164.28, 160.50, 160.75, 4834200 
2013-03-27, 166.77, 168.66, 169.23, 165.51, 166.61, 3342800 
2013-03-26, 165.58, 167.46, 167.78, 164.54, 164.90, 4316200 
2013-03-21, 156.03, 157.80, 159.73, 157.80, 158.45, 3720800 
2013-03-20, 157.54, 159.33, 159.97, 156.72, 157.00, 4017600 
2013-03-22, 158.29, 160.09, 160.16, 157.72, 158.21, 4697600 
2012-01-23, 97.51, 99.60, 100.89, 98.80, 100.75, 4041600 
2012-01-20, 98.47, 100.58, 102.52, 99.80, 102.39, 5008200 
2012-01-26, 98.74, 100.86, 102.15, 99.98, 100.72, 3484800 
2012-01-27, 98.93, 101.05, 101.53, 99.90, 100.41, 2840700 
2012-01-24, 98.89, 101.01, 101.27, 98.99, 99.05, 3035200 
2012-01-25, 98.45, 100.56, 100.97, 99.80, 100.61, 3772100 
2013-04-11, 165.74, 167.62, 167.90, 166.22, 167.00, 1647500 
2013-04-10, 165.12, 166.99, 167.30, 164.97, 164.97, 2249100 
2013-09-03, 175.68, 177.02, 178.40, 175.25, 176.03, 3137600 
2013-04-12, 163.89, 165.75, 166.83, 165.10, 165.91, 1769200 
2013-09-05, 174.87, 176.21, 176.70, 175.23, 176.13, 1851700 
2013-09-04, 174.85, 176.19, 177.88, 175.25, 176.90, 2438300 
2013-04-17, 160.41, 162.23, 164.03, 161.94, 163.74, 2385900 
2013-09-06, 175.33, 176.67, 177.89, 175.05, 176.32, 1674300 
2013-09-09, 177.20, 178.55, 178.65, 177.28, 177.28, 2700400 
2013-04-18, 159.60, 161.41, 163.39, 161.27, 162.59, 5252700 
2013-12-18, 214.15, 215.35, 215.48, 210.00, 213.10, 4035500 
2013-12-19, 214.87, 216.08, 217.87, 214.54, 214.93, 3348700 
2013-12-16, 206.59, 207.75, 210.57, 207.29, 208.04, 3694900 
2013-12-17, 212.06, 213.25, 213.81, 207.84, 208.62, 5161800 
2013-12-12, 202.31, 203.44, 205.65, 202.50, 204.97, 2867300 
2013-12-13, 206.20, 207.36, 208.00, 203.92, 204.51, 4418600 
2013-12-10, 198.32, 199.43, 201.69, 199.43, 200.91, 3911800 
2013-12-11, 204.51, 205.66, 207.91, 201.00, 201.00, 10082000 
2012-10-08, 136.55, 138.71, 139.50, 138.56, 139.00, 1700900 
2012-10-09, 134.61, 136.74, 139.38, 136.72, 139.17, 2494500 
2013-08-19, 173.65, 174.98, 176.89, 172.21, 172.33, 2995500 
2012-10-02, 133.88, 136.00, 137.10, 135.48, 136.59, 2510400 
2013-08-14, 177.00, 178.35, 181.49, 178.35, 179.51, 3834700 
2013-08-16, 171.82, 173.13, 174.73, 172.36, 173.72, 3153100 
2012-10-04, 137.49, 139.67, 139.82, 138.20, 138.80, 2118900 
2013-08-12, 178.07, 179.76, 179.98, 178.40, 179.40, 3405600 
2013-01-30, 152.95, 155.01, 159.09, 154.75, 156.99, 4677000 
2013-01-31, 155.81, 157.91, 159.50, 156.35, 159.00, 4171400 
2012-03-19, 116.57, 118.84, 119.72, 116.15, 116.44, 3979600 
2012-03-15, 114.76, 117.00, 117.47, 116.30, 116.62, 3323300 
2012-03-14, 114.52, 116.75, 117.89, 116.47, 117.31, 3749000 
2012-03-16, 114.45, 116.68, 117.50, 116.27, 117.43, 4001600 
2012-03-13, 115.03, 117.27, 117.41, 115.68, 116.91, 3196400 
2012-03-12, 114.30, 116.53, 117.55, 116.07, 117.02, 1927300 
2013-11-19, 196.29, 197.39, 200.40, 196.82, 200.35, 3615700 
2013-11-18, 198.79, 199.90, 202.71, 199.27, 202.00, 4095200 
2013-11-13, 198.67, 199.78, 199.78, 196.50, 196.65, 2045400 
2013-11-12, 196.77, 198.27, 199.18, 196.85, 198.81, 2254100 
2013-11-11, 197.76, 199.27, 199.70, 198.22, 198.64, 2096300 
2013-11-15, 200.87, 202.00, 202.54, 199.74, 199.76, 3097900 
2013-11-14, 199.03, 200.15, 200.23, 198.77, 199.93, 2727400 
2013-08-26, 173.67, 175.00, 179.46, 174.97, 179.46, 3447300 
2012-01-10, 97.71, 99.80, 100.95, 99.45, 100.87, 4677900 
2012-08-27, 125.67, 127.66, 128.14, 127.04, 127.29, 2205100 
2014-01-24, 220.02, 221.25, 226.96, 221.25, 226.40, 4010800 
2014-01-27, 215.01, 216.22, 222.07, 215.12, 222.07, 4867700 
2014-01-21, 230.64, 231.93, 235.50, 230.82, 234.39, 4938100 
2014-01-22, 231.69, 232.99, 233.82, 231.68, 232.40, 1813600 
2014-01-23, 226.98, 228.25, 232.33, 227.66, 231.66, 3415600 
2014-01-28, 219.73, 220.96, 222.36, 217.40, 217.62, 4463100 
2014-01-29, 215.91, 217.12, 220.74, 216.50, 219.10, 4200000 
2012-07-20, 123.58, 125.75, 126.18, 123.65, 124.61, 2954200 
2013-10-10, 187.60, 189.03, 189.12, 185.55, 185.94, 2716400 
2012-07-23, 122.32, 124.47, 125.06, 123.25, 124.05, 2847800 
2012-07-24, 120.53, 122.65, 124.76, 121.28, 124.50, 3376000 
2012-07-25, 120.09, 122.20, 124.09, 121.54, 123.38, 3826300 
2012-07-26, 124.58, 126.77, 128.19, 124.20, 124.97, 5259000 
2013-10-11, 190.74, 192.20, 192.20, 187.50, 188.80, 2978800 
2014-04-23, 208.03, 208.82, 210.30, 208.00, 210.30, 2204900 
2014-04-22, 209.18, 209.97, 210.58, 208.53, 209.34, 2460000 
2014-04-21, 208.34, 209.13, 209.50, 208.39, 208.98, 2503100 
2013-05-15, 180.05, 181.76, 181.79, 179.68, 180.00, 3406100 
2013-05-13, 176.92, 178.93, 180.44, 178.13, 178.58, 3120000 
2014-04-25, 198.18, 198.93, 203.80, 198.56, 200.00, 9559800 
2014-04-24, 208.61, 209.40, 210.50, 207.59, 209.80, 3386800 
2014-04-29, 201.90, 202.67, 204.05, 201.79, 201.89, 3190000 
2014-04-28, 200.66, 201.42, 201.93, 199.01, 199.50, 6065800 
2013-01-09, 159.64, 161.79, 162.55, 159.71, 161.40, 4388200 
2013-01-08, 157.24, 159.36, 159.36, 157.01, 157.65, 2950100 
2013-01-03, 153.43, 155.50, 158.08, 154.82, 157.11, 3734300 
2013-01-02, 153.31, 155.38, 155.94, 153.93, 154.16, 3956600 
2013-01-04, 154.68, 156.77, 157.19, 154.78, 155.60, 2594000 
2013-01-07, 155.79, 157.89, 158.77, 156.80, 156.94, 2560600 
2013-07-10, 184.94, 186.70, 187.81, 185.81, 187.35, 3880800 
2012-08-02, 127.04, 129.27, 129.29, 126.19, 126.80, 2778100 
2013-10-30, 202.27, 203.82, 204.90, 201.64, 204.86, 2986600 
2013-10-31, 195.18, 196.67, 198.90, 194.26, 197.05, 6008800 
2012-08-07, 128.15, 130.40, 131.43, 129.34, 130.83, 3294800 
2012-08-06, 128.77, 131.03, 132.58, 130.62, 131.00, 2306900 
2013-07-16, 187.60, 189.38, 190.73, 188.70, 190.19, 1878800 
2013-07-17, 187.86, 189.64, 189.95, 188.14, 188.44, 2779500 
2013-07-18, 189.21, 191.01, 191.40, 189.95, 190.21, 1484600 
2013-07-19, 188.13, 189.92, 191.99, 189.40, 191.08, 2262100 
2012-08-09, 126.29, 128.51, 130.97, 127.75, 130.88, 3550900 
2012-08-08, 128.89, 131.15, 131.52, 130.40, 130.78, 1990700 
2014-02-03, 212.28, 213.47, 217.84, 212.07, 216.51, 5415600 
2013-04-16, 162.86, 164.71, 164.80, 162.50, 162.65, 2523000 
2014-02-07, 220.54, 221.78, 222.00, 218.46, 220.19, 3134300 
2014-02-06, 217.79, 219.01, 219.01, 215.78, 216.08, 3180400 
2014-02-05, 214.41, 215.61, 216.74, 213.12, 213.24, 3380200 
2014-02-04, 213.34, 214.54, 215.88, 211.38, 214.16, 3728400 
2012-01-06, 98.60, 100.71, 102.22, 100.22, 101.96, 3272300 
2012-01-09, 97.80, 99.90, 101.18, 98.78, 101.01, 4500600 
2014-07-24, 222.32, 222.74, 223.85, 221.83, 223.39, 2986900 
2014-07-25, 214.36, 214.77, 216.70, 211.34, 214.10, 6882600 
2014-07-22, 220.84, 221.26, 222.59, 220.61, 220.92, 1924800 
2014-07-23, 220.78, 221.20, 222.54, 220.68, 221.49, 2047300 
2014-07-21, 218.80, 219.22, 220.13, 218.51, 219.53, 1542100 
2014-07-28, 213.81, 214.22, 214.96, 213.12, 214.42, 2600400 
2014-07-29, 213.09, 213.50, 215.71, 213.33, 214.40, 2644300 
2014-05-19, 209.96, 210.36, 210.98, 208.85, 209.38, 1759900 
2012-09-17, 131.78, 133.87, 134.85, 133.62, 134.46, 2662300 
2014-03-31, 215.04, 215.86, 215.86, 211.67, 212.79, 2909800 
2014-05-13, 211.26, 212.06, 212.69, 211.40, 211.99, 1784400 
2014-05-12, 210.90, 211.70, 212.48, 211.03, 211.08, 2183200 
2014-05-15, 207.06, 207.45, 209.69, 206.42, 209.00, 3171300 
2014-05-14, 209.46, 209.86, 211.88, 209.86, 211.20, 1709500 
2014-05-16, 209.41, 209.81, 210.09, 207.59, 207.59, 3069900 
2012-11-23, 146.15, 148.12, 148.12, 146.40, 147.30, 1113600 
2013-02-15, 156.22, 157.99, 158.08, 155.74, 156.35, 4471100 
2012-11-20, 144.39, 146.34, 147.38, 145.16, 145.54, 2391600 
2012-05-31, 113.21, 115.20, 118.36, 114.72, 117.75, 5251000 
2012-05-30, 115.46, 117.49, 119.74, 117.46, 118.71, 4586600 
2013-02-11, 154.25, 156.33, 158.17, 155.94, 157.58, 2758100 
2012-11-29, 146.21, 148.18, 148.33, 147.24, 147.93, 3143200 
2012-11-28, 145.33, 147.29, 147.35, 145.89, 146.03, 2589600 
2013-02-19, 155.84, 157.61, 158.79, 156.66, 158.01, 3302500 
2012-04-05, 118.70, 121.01, 121.15, 118.07, 118.32, 3348900 
2012-04-04, 116.71, 118.98, 119.68, 118.20, 119.49, 2577200 
2012-04-03, 118.06, 120.36, 120.59, 118.37, 118.84, 3922900 
2012-06-08, 114.57, 116.58, 116.60, 115.45, 116.39, 2594200 
2012-06-05, 111.85, 113.81, 114.53, 113.14, 113.76, 2843700 
2012-06-04, 112.19, 114.16, 114.44, 112.02, 112.03, 4161600 
2012-06-07, 114.79, 116.81, 118.00, 116.55, 117.83, 2289500 
2012-09-10, 126.67, 128.68, 129.88, 128.42, 128.42, 2908400 
2012-06-01, 110.31, 112.25, 114.89, 111.94, 113.64, 4662600 
2012-04-09, 117.22, 119.50, 120.35, 118.71, 119.66, 3323900 
2014-01-14, 221.41, 222.65, 222.65, 218.33, 218.74, 2712900 
2013-08-20, 171.91, 173.22, 175.27, 172.90, 174.61, 3533800 
2013-06-07, 178.25, 179.94, 181.00, 179.55, 180.65, 3474800 
2013-02-22, 157.64, 159.43, 159.58, 156.69, 158.30, 2934500 
2013-02-20, 153.68, 155.42, 157.61, 155.19, 157.12, 3922200 
2013-02-21, 155.67, 157.44, 158.29, 154.79, 155.12, 3555200 
2013-02-26, 156.06, 157.83, 158.59, 156.01, 156.01, 2838500 
2013-02-27, 158.08, 159.87, 160.10, 157.30, 157.45, 2079500 
2013-02-25, 154.14, 155.89, 160.35, 155.89, 159.20, 2795800 
2013-02-28, 156.86, 158.64, 160.34, 158.31, 160.34, 2807000 
2012-09-18, 131.58, 133.66, 133.85, 132.53, 133.09, 3298100 
2012-04-30, 120.63, 122.98, 124.15, 122.31, 124.11, 2343800 
2012-03-29, 116.73, 119.00, 119.18, 117.55, 118.54, 2172800 
2014-01-16, 220.53, 221.77, 223.76, 221.29, 223.19, 3378500 
2014-06-30, 210.31, 210.71, 211.74, 208.50, 208.66, 2490400 
2012-12-26, 147.77, 149.76, 151.29, 149.20, 151.28, 1903600 
2012-12-27, 147.41, 149.40, 150.65, 147.90, 149.69, 2994200 
2012-12-24, 149.17, 151.18, 151.62, 150.23, 150.23, 818000 
2012-12-20, 150.43, 152.46, 152.51, 149.32, 149.88, 2715800 
2012-12-21, 148.76, 150.77, 151.98, 149.96, 150.97, 3482600 
2012-12-28, 146.67, 148.65, 149.93, 148.25, 148.46, 1743400 
2013-10-07, 184.92, 186.33, 187.95, 186.32, 187.95, 2946300 
2014-04-14, 200.25, 201.01, 201.95, 198.01, 199.80, 5231400 
2012-11-19, 143.71, 145.65, 145.66, 143.66, 144.00, 3780100 
2012-11-16, 140.81, 142.71, 143.55, 140.02, 140.02, 4158100 
2012-11-14, 138.09, 139.95, 143.23, 139.65, 142.60, 3402000 
2012-11-15, 138.14, 140.00, 140.48, 138.53, 140.00, 3429400 
2012-11-12, 141.01, 143.24, 143.78, 142.02, 142.02, 2235900 
2012-11-13, 140.23, 142.45, 144.79, 142.45, 142.60, 2537300 
2013-10-04, 189.04, 190.48, 191.15, 188.01, 188.64, 2341400 
2013-10-03, 187.22, 188.65, 192.11, 187.74, 191.99, 4911500 
2012-02-23, 114.25, 116.48, 116.80, 115.66, 116.36, 2722700 
2013-03-06, 159.25, 161.06, 161.70, 160.20, 160.86, 1879000 
2014-09-30, 213.37, 213.37, 214.02, 211.02, 211.17, 2864000 
2012-02-21, 112.02, 114.20, 116.00, 113.85, 115.26, 2704900 
2012-01-31, 98.53, 100.64, 100.78, 99.83, 100.49, 3310100 
2012-01-30, 97.78, 99.88, 100.52, 99.50, 100.14, 3119000 
2013-04-15, 159.48, 161.29, 164.88, 161.29, 164.62, 2693500 
2013-05-30, 179.33, 181.03, 181.99, 178.34, 178.34, 2407000 
2013-05-31, 176.46, 178.14, 181.40, 178.10, 180.57, 3128600 
2013-01-29, 154.58, 156.66, 157.09, 155.12, 155.74, 2916000 
2013-01-28, 154.27, 156.35, 160.58, 156.30, 160.28, 3383000 
2013-01-25, 157.71, 159.84, 160.14, 159.03, 159.92, 1675400 
2013-01-24, 157.44, 159.56, 160.17, 158.90, 159.30, 1698500 
